visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,2403,0,0,3,1.0,0.9987531172069826,0.0,0.9993761696818465,0.0,0.0012468827930174563,0.9987531172069826
1024,2266,2266,0,2248,0,0,18,1.0,0.9920564872021183,0.0,0.9960124058484714,0.0,0.00794351279788173,0.9920564872021183
2048,2348,2348,0,2303,0,0,45,1.0,0.9808347529812607,0.0,0.9903246613631477,0.0,0.019165247018739354,0.9808347529812607
4096,10232,5665,4567,5162,546,4021,503,0.9043447792571829,0.9112091791703442,0.8804466827238888,0.9077640024619713,0.11955331727611124,0.08879082082965578,0.8974784988272088
