visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,1274,0,0,1132,1.0,0.5295095594347464,0.0,0.692391304347826,0.0,0.4704904405652535,0.5295095594347464
1024,2266,0,2266,0,738,1528,0,0.0,0.0,0.6743159752868491,0.0,0.32568402471315094,0.0,0.6743159752868491
2048,2348,0,2348,0,289,2059,0,0.0,0.0,0.876916524701874,0.0,0.12308347529812606,0.0,0.876916524701874
4096,10232,0,10232,0,604,9628,0,0.0,0.0,0.9409695074276778,0.0,0.059030492572322124,0.0,0.9409695074276778
