release_phase,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
0.0,14438,12685,1753,12116,183,1570,569,0.9851207415237011,0.9551438707134411,0.8956075299486594,0.9699007364713416,0.10439247005134056,0.04485612928655893,0.947915223715196
1.0,2814,0,2814,0,363,2451,0,0.0,0.0,0.8710021321961621,0.0,0.12899786780383796,0.0,0.8710021321961621
