pitch_midi,count,top1,top3
40,85,0.8705882352941177,0.8823529411764706
41,44,0.6363636363636364,0.8409090909090909
42,88,0.5113636363636364,0.5795454545454546
43,110,0.7636363636363637,0.8909090909090909
44,108,0.75,0.8240740740740741
45,129,0.751937984496124,0.875968992248062
46,159,0.6855345911949685,0.7672955974842768
47,211,0.8483412322274881,0.9146919431279621
48,110,0.7909090909090909,0.8545454545454545
49,202,0.9455445544554455,0.9851485148514851
50,227,0.8325991189427313,0.9295154185022027
51,166,0.8975903614457831,0.9397590361445783
52,255,0.9058823529411765,0.9764705882352941
53,163,0.9202453987730062,0.9754601226993865
54,274,0.9087591240875912,0.9744525547445255
55,234,0.7991452991452992,0.8803418803418803
56,355,0.9323943661971831,0.9774647887323944
57,335,0.8537313432835821,0.9223880597014925
58,297,0.9461279461279462,0.9797979797979798
59,726,0.8994490358126722,0.9545454545454546
60,499,0.9458917835671342,0.969939879759519
61,840,0.944047619047619,0.9738095238095238
62,684,0.9078947368421053,0.9692982456140351
63,636,0.9481132075471698,0.9842767295597484
64,697,0.9569583931133429,0.9813486370157819
65,817,0.9645042839657283,0.9951040391676866
66,473,0.9492600422832981,0.9767441860465116
67,719,0.9554937413073713,0.9972183588317107
68,580,0.9275862068965517,0.9672413793103448
69,488,0.9672131147540983,0.9836065573770492
70,533,0.9587242026266416,0.9887429643527205
71,333,0.960960960960961,0.984984984984985
72,511,0.9784735812133072,0.9960861056751468
73,201,0.9900497512437811,1.0
74,263,0.9581749049429658,0.9809885931558935
75,90,0.9777777777777777,0.9888888888888889
76,43,1.0,1.0
