epoch,active_accuracy,active_loss,attack_phase_accuracy,attack_phase_loss,loss,lr,onset_accuracy,onset_loss,pitch_loss,pitch_top1,pitch_top3,release_phase_accuracy,release_phase_loss,val_active_accuracy,val_active_loss,val_attack_phase_accuracy,val_attack_phase_loss,val_loss,val_onset_accuracy,val_onset_loss,val_pitch_loss,val_pitch_top1,val_pitch_top3,val_release_phase_accuracy,val_release_phase_loss
0,0.6988763809204102,0.5372263193130493,0.8123595714569092,0.468074232339859,5.074208736419678,0.001,0.898876428604126,0.24871115386486053,1.5910810232162476,0.1005861908197403,0.25722864270210266,0.7404494285583496,0.5136797428131104,0.769911527633667,0.411891907453537,0.8716813921928406,0.3550252914428711,3.751142978668213,0.8805309534072876,0.17128081619739532,1.155911922454834,0.1280105710029602,0.32399168610572815,0.778761088848114,0.41548091173171997
1,0.7808988690376282,0.4154587686061859,0.8516854047775269,0.3517983853816986,4.05322265625,0.001,0.9415730237960815,0.1683807522058487,1.297112226486206,0.10672964155673981,0.30875110626220703,0.766292154788971,0.43916943669319153,0.8053097128868103,0.4027574360370636,0.8584070801734924,0.341681569814682,3.529311418533325,1.0,0.1376558542251587,1.082079529762268,0.13917168974876404,0.36527296900749207,0.7831858396530151,0.4142298996448517
2,0.7842696905136108,0.40311723947525024,0.8561797738075256,0.34188324213027954,3.877511978149414,0.001,0.9573033452033997,0.13196299970149994,1.2547836303710938,0.11822996288537979,0.30901604890823364,0.785393238067627,0.4249989986419678,0.8539823293685913,0.3361932933330536,0.8805309534072876,0.3053191900253296,3.350414991378784,1.0,0.12272530049085617,1.0826300382614136,0.17406123876571655,0.3599560260772705,0.8539823293685913,0.3595547378063202
3,0.8685393333435059,0.2813282012939453,0.8707864880561829,0.28762251138687134,3.5411059856414795,0.001,0.9730337262153625,0.12166362255811691,1.2325222492218018,0.14050079882144928,0.3267207741737366,0.8494381904602051,0.3246154487133026,0.8805309534072876,0.26086974143981934,0.8716813921928406,0.2891992926597595,3.1148104667663574,1.0,0.10345668345689774,1.0633622407913208,0.14957967400550842,0.37818941473960876,0.8716813921928406,0.2828318476676941
4,0.8910112380981445,0.25363561511039734,0.8730337023735046,0.2846260964870453,3.4329893589019775,0.001,0.9707865118980408,0.11003429442644119,1.2231523990631104,0.12301761656999588,0.30796018242836,0.8831460475921631,0.28337186574935913,0.8982300758361816,0.21434687077999115,0.8805309534072876,0.27582764625549316,3.0315446853637695,1.0,0.09741330146789551,1.0641521215438843,0.1694280207157135,0.3659393787384033,0.8893805146217346,0.26694586873054504
5,0.8955056071281433,0.23477795720100403,0.867415726184845,0.28404363989830017,3.3614883422851562,0.001,0.9808988571166992,0.09811107069253922,1.2148804664611816,0.11788010597229004,0.34345731139183044,0.8898876309394836,0.2657395005226135,0.9026548862457275,0.25007715821266174,0.8716813921928406,0.28046557307243347,3.092930316925049,1.0,0.08736731857061386,1.0772953033447266,0.12440843135118484,0.38337308168411255,0.8938053250312805,0.2767461836338043
6,0.8269662857055664,0.37102261185646057,0.8314606547355652,0.3759104609489441,3.755157947540283,0.001,0.9764044880867004,0.12023231387138367,1.2222399711608887,0.12215980887413025,0.3207465708255768,0.8269662857055664,0.38339686393737793,0.8805309534072876,0.2839025855064392,0.8716813921928406,0.2974817156791687,3.177213430404663,1.0,0.07723746448755264,1.077545404434204,0.17576466500759125,0.3751290738582611,0.8274336457252502,0.32488229870796204
7,0.8797752857208252,0.2736358344554901,0.8685393333435059,0.28528428077697754,3.4135968685150146,0.001,0.9820224642753601,0.08656306564807892,1.2237831354141235,0.11449798196554184,0.3418734073638916,0.8797752857208252,0.2772662937641144,0.8716813921928406,0.3048296868801117,0.8805309534072876,0.3020455837249756,3.086991548538208,1.0,0.07338113337755203,1.0387027263641357,0.16908662021160126,0.4357326626777649,0.8761062026023865,0.29263898730278015
8,0.9101123809814453,0.21074968576431274,0.8752809166908264,0.2704894244670868,3.226987361907959,0.001,0.9955056309700012,0.07349033653736115,1.197121500968933,0.12037979811429977,0.33368656039237976,0.8955056071281433,0.24126984179019928,0.8362832069396973,0.5034412741661072,0.8805309534072876,0.36816543340682983,3.483712911605835,0.9955752491950989,0.06862084567546844,1.0420541763305664,0.27747642993927,0.4315178096294403,0.8318583965301514,0.42506641149520874
9,0.9078651666641235,0.22697018086910248,0.8651685118675232,0.27350470423698425,3.20841646194458,0.001,0.9977527856826782,0.06330852955579758,1.1894078254699707,0.1431361883878708,0.37289270758628845,0.8955056071281433,0.23416271805763245,0.8539823293685913,0.42812681198120117,0.8805309534072876,0.33175185322761536,3.349830389022827,0.9955752491950989,0.07042301446199417,1.034682035446167,0.25094112753868103,0.4677157402038574,0.8318583965301514,0.41495266556739807
