visible_window,n,top1,top3
512.0,27,0.18518518518518517,0.37037037037037035
1024.0,27,0.1111111111111111,0.4074074074074074
2048.0,27,0.18518518518518517,0.48148148148148145
4096.0,71,0.19718309859154928,0.4788732394366197
