pitch_midi,n,top1,top3
44.0,6,0.0,0.0
46.0,6,0.0,0.0
51.0,23,0.2608695652173913,0.5217391304347826
56.0,12,0.0,0.08333333333333333
57.0,6,0.0,0.0
58.0,23,0.7391304347826086,1.0
60.0,5,0.0,0.0
62.0,29,0.13793103448275862,0.7586206896551724
63.0,5,0.0,0.0
65.0,16,0.0,0.3125
67.0,10,0.0,0.5
70.0,6,0.0,0.0
72.0,5,0.0,0.0
