epoch,frame_loss,frame_micro_f1,frame_precision,frame_recall,harmonic_amplitude_loss,harmonic_offset_cents_loss,loss,lr,onset_loss,onset_micro_f1,onset_precision,onset_recall,val_frame_loss,val_frame_micro_f1,val_frame_precision,val_frame_recall,val_harmonic_amplitude_loss,val_harmonic_offset_cents_loss,val_loss,val_onset_loss,val_onset_micro_f1,val_onset_precision,val_onset_recall
0,0.5149416923522949,0.4262479543685913,0.2913956046104431,0.7934343814849854,0.015461521223187447,0.05470727011561394,0.6991977691650391,0.0002,0.3658733665943146,0.1419169306755066,0.0839625746011734,0.4581516683101654,0.49253663420677185,0.4801667332649231,0.3493507504463196,0.7675968408584595,0.01418725773692131,0.061393022537231445,0.5618608593940735,0.13600170612335205,0.04501122608780861,0.024098997935652733,0.3403840661048889
1,0.4865836501121521,0.4506896138191223,0.31478139758110046,0.7931263446807861,0.015185827389359474,0.054903142154216766,0.6633368134498596,0.0002,0.3508899211883545,0.15367533266544342,0.09286413341760635,0.4452299177646637,0.47252529859542847,0.4763924777507782,0.34195518493652344,0.7850160598754883,0.013941530138254166,0.061608582735061646,0.5436705946922302,0.1396639347076416,0.04527595266699791,0.024236824363470078,0.3431672751903534
2,0.4781598746776581,0.45759451389312744,0.3215266168117523,0.7933238744735718,0.015071632340550423,0.05475141480565071,0.6523336172103882,0.0002,0.345744788646698,0.15954415500164032,0.09726648032665253,0.44352173805236816,0.4681703448295593,0.48955899477005005,0.35692206025123596,0.7790725827217102,0.013967219740152359,0.061029862612485886,0.5395290851593018,0.14009936153888702,0.04563022404909134,0.02430177666246891,0.3729473948478699
3,0.4721832275390625,0.4624442756175995,0.3259790539741516,0.7954414486885071,0.014928605407476425,0.05455833673477173,0.6450150012969971,0.0002,0.3430804908275604,0.16060449182987213,0.0979919582605362,0.4448385536670685,0.46092069149017334,0.4851164221763611,0.35030636191368103,0.7885952591896057,0.013913063332438469,0.06058657169342041,0.5343258380889893,0.1442071795463562,0.045447371900081635,0.02408953197300434,0.4007793068885803
4,0.4687166213989258,0.466021865606308,0.32930728793144226,0.796835720539093,0.01495433785021305,0.054722461849451065,0.6404181718826294,0.0002,0.34081098437309265,0.16221541166305542,0.09930140525102615,0.4426918029785156,0.4578680396080017,0.4912189245223999,0.35767799615859985,0.7838946580886841,0.013856240548193455,0.060408785939216614,0.5349789261817932,0.15162797272205353,0.04021506384015083,0.021079394966363907,0.43612581491470337
5,0.4648591876029968,0.46938708424568176,0.3325549364089966,0.7975412607192993,0.01495901308953762,0.05452709645032883,0.635428249835968,0.0002,0.33855077624320984,0.1643294245004654,0.10066134482622147,0.4471522271633148,0.45803362131118774,0.5008209347724915,0.36826735734939575,0.782464861869812,0.013839839957654476,0.060725051909685135,0.5301212668418884,0.14157697558403015,0.04616492986679077,0.024458641186356544,0.41024214029312134
6,0.46202927827835083,0.4711497128009796,0.3340902030467987,0.7988932728767395,0.014928165823221207,0.05456572026014328,0.6321272850036621,0.0002,0.3376101851463318,0.1653580367565155,0.10143659263849258,0.44710883498191833,0.4514061212539673,0.5040526390075684,0.3716909885406494,0.7828199863433838,0.013869388028979301,0.06077928841114044,0.5180416703224182,0.13066861033439636,0.05647280812263489,0.030715472996234894,0.3498469293117523
7,0.4587709903717041,0.47351589798927307,0.3363018035888672,0.7998698353767395,0.014890491031110287,0.05458412319421768,0.6282644271850586,0.0002,0.33640551567077637,0.1667802631855011,0.1023564413189888,0.4500357508659363,0.4507853090763092,0.5000772476196289,0.3665722906589508,0.7865299582481384,0.013937662355601788,0.06062120199203491,0.5190811157226562,0.13398529589176178,0.05319319665431976,0.028662214055657387,0.36905092000961304
8,0.45522817969322205,0.47640883922576904,0.3388414978981018,0.8020293712615967,0.014817452989518642,0.05452069267630577,0.6232618093490601,0.0002,0.33349573612213135,0.16752517223358154,0.10268860310316086,0.45448359847068787,0.45329394936561584,0.5082511901855469,0.37636598944664,0.7824274897575378,0.013856790028512478,0.06126224622130394,0.5188487768173218,0.128498375415802,0.05747399851679802,0.031157687306404114,0.3698858916759491
9,0.4519123136997223,0.4781368672847748,0.34042122960090637,0.8029771447181702,0.014836717396974564,0.05472632125020027,0.6191284656524658,0.0002,0.33185315132141113,0.16830110549926758,0.10322687029838562,0.4553603529930115,0.4460199773311615,0.49655118584632874,0.3610527515411377,0.7948471307754517,0.013795767910778522,0.06168626248836517,0.5143336653709412,0.13401374220848083,0.054264336824417114,0.029215645045042038,0.38046202063560486
10,0.4513760507106781,0.47827500104904175,0.3405384123325348,0.8031042814254761,0.0148168271407485,0.05458036810159683,0.6181847453117371,0.0002,0.3310442566871643,0.17033751308918,0.10467561334371567,0.45702341198921204,0.4451587498188019,0.5030387043952942,0.3687196671962738,0.7912960052490234,0.013808682560920715,0.06059470772743225,0.5153493881225586,0.13778814673423767,0.050612274557352066,0.026988031342625618,0.4060673415660858
11,0.4492928683757782,0.47938865423202515,0.34142258763313293,0.8044691681861877,0.014714421704411507,0.05444059520959854,0.6157246232032776,0.0002,0.330304890871048,0.16916289925575256,0.10371193289756775,0.45854082703590393,0.44454312324523926,0.4975511133670807,0.36216339468955994,0.7945948243141174,0.013757375068962574,0.06072383373975754,0.5148580074310303,0.13804014027118683,0.050695013254880905,0.026964178308844566,0.42276647686958313
