epoch,frame_loss,frame_micro_f1,frame_precision,frame_recall,harmonic_amplitude_loss,harmonic_offset_cents_loss,loss,lr,onset_loss,onset_micro_f1,onset_precision,onset_recall,val_frame_loss,val_frame_micro_f1,val_frame_precision,val_frame_recall,val_harmonic_amplitude_loss,val_harmonic_offset_cents_loss,val_loss,val_onset_loss,val_onset_micro_f1,val_onset_precision,val_onset_recall
0,0.4769071638584137,0.4605902433395386,0.31995055079460144,0.8218470215797424,0.0438002273440361,0.14371147751808167,0.6577082872390747,0.0005,0.3543504476547241,0.1360025256872177,0.08180532604455948,0.4029921293258667,0.3421056270599365,0.5571582317352295,0.4163275361061096,0.8419707417488098,0.030927542597055435,0.13183842599391937,0.40703916549682617,0.12413709610700607,0.05114741623401642,0.026983192190527916,0.4895833432674408
1,0.35945960879325867,0.55467289686203,0.4052099287509918,0.8788350224494934,0.03273297846317291,0.11830846220254898,0.5070475935935974,0.0005,0.2895355522632599,0.1738440990447998,0.10199025273323059,0.5883382558822632,0.3228774070739746,0.5848566889762878,0.4447559714317322,0.8538126349449158,0.02995796501636505,0.12794506549835205,0.38315707445144653,0.11500418186187744,0.05598485469818115,0.029459120705723763,0.5622395873069763
2,0.32234951853752136,0.584483802318573,0.4338207244873047,0.8954790234565735,0.031917985528707504,0.11577154695987701,0.45888805389404297,0.0005,0.2675696313381195,0.18862980604171753,0.11045634746551514,0.6453996300697327,0.32355186343193054,0.6044910550117493,0.4680260419845581,0.8532894849777222,0.029639599844813347,0.12604761123657227,0.3798902630805969,0.10719236731529236,0.06015815958380699,0.0318368598818779,0.5447916388511658
3,0.3004065752029419,0.6024842858314514,0.4516352415084839,0.9046396613121033,0.03142617642879486,0.11528574675321579,0.4302319288253784,0.0005,0.25420376658439636,0.1981612592935562,0.11612248420715332,0.6751311421394348,0.3140820264816284,0.620472252368927,0.4832718074321747,0.8664594292640686,0.029300255700945854,0.12799976766109467,0.3681780695915222,0.10270223021507263,0.06459716707468033,0.03426613286137581,0.5625
4,0.28440985083580017,0.6164873242378235,0.4658082127571106,0.9112611413002014,0.031012730672955513,0.11534739285707474,0.4082886576652527,0.0005,0.24234949052333832,0.2057308554649353,0.12062453478574753,0.6986889839172363,0.3231610655784607,0.6372106671333313,0.5077498555183411,0.8552815318107605,0.028914913535118103,0.12684640288352966,0.374893456697464,0.09803586453199387,0.06925498694181442,0.036954086273908615,0.550000011920929
5,0.2725293040275574,0.6267722845077515,0.4761490523815155,0.916786253452301,0.030760830268263817,0.11413682997226715,0.3930819034576416,0.0005,0.23574720323085785,0.2106291502714157,0.1236124113202095,0.7114604711532593,0.3139730393886566,0.6304560303688049,0.4943765103816986,0.8699002861976624,0.028926393017172813,0.12848807871341705,0.36373528838157654,0.09406210482120514,0.07577472925186157,0.040603358298540115,0.56640625
6,0.2629280388355255,0.6359454989433289,0.4856770634651184,0.9208592176437378,0.03060806915163994,0.11412922292947769,0.37960535287857056,0.0005,0.22801147401332855,0.2184039205312729,0.12844450771808624,0.728925883769989,0.3240724503993988,0.6487928628921509,0.520408034324646,0.8612679243087769,0.028539063408970833,0.1271856725215912,0.3726188540458679,0.09169621765613556,0.08115731924772263,0.04378316178917885,0.5544270873069763
7,0.2543843984603882,0.6424691081047058,0.4925566613674164,0.923561692237854,0.030390610918402672,0.11380842328071594,0.3685533404350281,0.0005,0.22302336990833282,0.22158758342266083,0.13040496408939362,0.736725926399231,0.3212709128856659,0.6376265287399292,0.5057884454727173,0.862424910068512,0.02879926562309265,0.12586911022663116,0.37336432933807373,0.0987895131111145,0.06926748156547546,0.036690011620521545,0.617968738079071
8,0.23873692750930786,0.6587262153625488,0.5100429654121399,0.9297624230384827,0.03001672774553299,0.1099613681435585,0.34802815318107605,0.00025,0.21338079869747162,0.23052148520946503,0.13616469502449036,0.7507885694503784,0.31289294362068176,0.6496895551681519,0.5189058780670166,0.8686124682426453,0.02837221510708332,0.12268669158220291,0.3615807890892029,0.09208481758832932,0.07730232179164886,0.041380833834409714,0.5859375
9,0.23373055458068848,0.6629151701927185,0.5143545269966125,0.9321463108062744,0.03001871518790722,0.10961559414863586,0.34071215987205505,0.00025,0.20876914262771606,0.23428580164909363,0.13851414620876312,0.7592419981956482,0.32886990904808044,0.6573401689529419,0.5309293866157532,0.8627569079399109,0.028331711888313293,0.123097263276577,0.3777121603488922,0.09238944947719574,0.07721664011478424,0.04132397845387459,0.5874999761581421
