epoch,loss,lr,top1,top3,val_loss,val_top1,val_top3
0,3.4626917839050293,0.001,0.1184210553765297,0.28453946113586426,3.5656375885009766,0.0,0.05806451663374901
1,2.6891040802001953,0.001,0.19736842811107635,0.3799342215061188,3.264519691467285,0.07096774131059647,0.20645160973072052
2,2.229792833328247,0.001,0.32236841320991516,0.5180920958518982,3.2783432006835938,0.06451612710952759,0.20645160973072052
3,1.9789372682571411,0.001,0.37664473056793213,0.6085526347160339,3.2502381801605225,0.07741935551166534,0.25161290168762207
4,1.7736012935638428,0.001,0.44078946113586426,0.6661184430122375,3.406212568283081,0.0903225839138031,0.25161290168762207
5,1.687683343887329,0.001,0.4621710479259491,0.6776315569877625,3.493642807006836,0.05161290243268013,0.21290323138237
6,1.5881175994873047,0.001,0.4819079041481018,0.7401315569877625,3.6620399951934814,0.0903225839138031,0.2451612949371338
7,1.4099055528640747,0.001,0.5641447305679321,0.7894737124443054,3.5902764797210693,0.05806451663374901,0.25806450843811035
8,1.3292170763015747,0.001,0.5904605388641357,0.7878289222717285,3.6631529331207275,0.08387096971273422,0.26451611518859863
9,1.1162501573562622,0.001,0.6414473652839661,0.8305920958518982,3.790494203567505,0.10322580486536026,0.29032257199287415
10,0.9648168683052063,0.001,0.6957237124443054,0.8996710777282715,4.09077787399292,0.0903225839138031,0.26451611518859863
11,0.9138380289077759,0.001,0.7236841917037964,0.8980262875556946,4.0017991065979,0.1548387110233307,0.26451611518859863
12,0.8421510457992554,0.001,0.7401315569877625,0.8980262875556946,4.0990519523620605,0.13548387587070465,0.26451611518859863
13,0.7908778190612793,0.001,0.7631579041481018,0.9144737124443054,4.153213024139404,0.10967741906642914,0.2709677517414093
14,0.7086472511291504,0.001,0.7680920958518982,0.9276315569877625,4.318150997161865,0.09677419066429138,0.2709677517414093
15,0.6314738392829895,0.001,0.8009868264198303,0.9309210777282715,4.2732367515563965,0.11612903326749802,0.29032257199287415
16,0.5175654292106628,0.001,0.8174341917037964,0.9654605388641357,4.440639495849609,0.1483870893716812,0.3290322721004486
17,0.4724338948726654,0.0005,0.8453947305679321,0.9671052694320679,4.652042865753174,0.13548387587070465,0.3096774220466614
18,0.4270542562007904,0.0005,0.8782894611358643,0.96875,4.553328514099121,0.14193548262119293,0.32258063554763794
19,0.34154102206230164,0.0005,0.9194079041481018,0.9884868264198303,4.734897613525391,0.10967741906642914,0.29032257199287415
20,0.3145945966243744,0.0005,0.9128289222717285,0.9851973652839661,4.58500337600708,0.1225806474685669,0.3032258152961731
21,0.37536054849624634,0.0005,0.8832237124443054,0.9769737124443054,4.6392107009887695,0.14193548262119293,0.3096774220466614
