epoch,loss,lr,top1,top3,val_loss,val_top1,val_top3
0,0.6111706495285034,0.001,0.8422083258628845,0.92742520570755,0.7282351851463318,0.8492279648780823,0.9226577281951904
1,0.3663899302482605,0.001,0.911016047000885,0.9582996368408203,0.6721938848495483,0.860755980014801,0.9305526614189148
2,0.33029696345329285,0.001,0.9176492094993591,0.9618822336196899,0.6964457631111145,0.8584503531455994,0.9255222678184509
3,0.31129011511802673,0.001,0.9203096032142639,0.9632585644721985,0.6490989327430725,0.8610354065895081,0.9283168911933899
4,0.2936353385448456,0.001,0.9237006902694702,0.9658337831497192,0.6339178681373596,0.8616642355918884,0.9278976917266846
5,0.27847006916999817,0.001,0.9269002079963684,0.9676712155342102,0.6583154201507568,0.8601271510124207,0.9283868074417114
6,0.26942193508148193,0.001,0.9281204342842102,0.9679195284843445,0.6908926963806152,0.8634108901023865,0.9283868074417114
7,0.23328328132629395,0.0005,0.9360731840133667,0.9730203151702881,0.6704162359237671,0.8666247725486755,0.9278278350830078
8,0.2210041880607605,0.0005,0.9383149743080139,0.9746804237365723,0.6965547204017639,0.8671138286590576,0.9289457201957703
9,0.1987447887659073,0.00025,0.9427205324172974,0.9778515696525574,0.6833967566490173,0.866275429725647,0.9279676079750061
10,0.19062358140945435,0.00025,0.9442883729934692,0.9790717959403992,0.7171684503555298,0.8676028847694397,0.9281771779060364
11,0.17767682671546936,0.000125,0.9482044577598572,0.9809163212776184,0.7161504030227661,0.8676727414131165,0.9271292090415955
12,0.17356598377227783,0.000125,0.9489918947219849,0.9813845157623291,0.7281795740127563,0.8668343424797058,0.9278278350830078
13,0.16576693952083588,6.25e-05,0.9502121210098267,0.9825905561447144,0.7494075894355774,0.8664151430130005,0.927757978439331
14,0.1636229157447815,6.25e-05,0.951205313205719,0.9827040433883667,0.7559059858322144,0.8661356568336487,0.9274086356163025
