pitch_midi,count,top1,top3
40,85,0.9058823529411765,0.9411764705882353
41,44,0.7727272727272727,0.8863636363636364
42,88,0.6022727272727273,0.6590909090909091
43,110,0.8,0.8909090909090909
44,108,0.6944444444444444,0.7592592592592593
45,129,0.8449612403100775,0.9302325581395349
46,159,0.7169811320754716,0.8427672955974843
47,211,0.8909952606635071,0.9715639810426541
48,110,0.7818181818181819,0.8545454545454545
49,202,0.9356435643564357,0.9702970297029703
50,227,0.8722466960352423,0.9427312775330396
51,166,0.8614457831325302,0.9337349397590361
52,255,0.9254901960784314,0.9607843137254902
53,163,0.8834355828220859,0.9693251533742331
54,274,0.9343065693430657,0.9781021897810219
55,234,0.8205128205128205,0.8418803418803419
56,355,0.9492957746478873,0.9774647887323944
57,335,0.8537313432835821,0.9194029850746268
58,297,0.9393939393939394,0.9730639730639731
59,726,0.8539944903581267,0.918732782369146
60,499,0.9458917835671342,0.9679358717434869
61,840,0.9476190476190476,0.975
62,684,0.9210526315789473,0.9678362573099415
63,636,0.9465408805031447,0.9748427672955975
64,697,0.9483500717360115,0.9856527977044476
65,817,0.9339045287637698,0.98531211750306
66,473,0.9429175475687104,0.9704016913319239
67,719,0.9568845618915159,0.9916550764951322
68,580,0.9431034482758621,0.9724137931034482
69,488,0.9692622950819673,0.985655737704918
70,533,0.9455909943714822,0.9793621013133208
71,333,0.9669669669669669,0.987987987987988
72,511,0.9765166340508806,0.9902152641878669
73,201,0.9950248756218906,1.0
74,263,0.9543726235741445,0.9847908745247148
75,90,0.9777777777777777,0.9888888888888889
76,43,1.0,1.0
