visible_window,count,top1,top3
512,2406,0.8162926018287614,0.9006650041562759
1024,2266,0.912180052956752,0.9602824360105914
2048,2348,0.9416524701873935,0.975298126064736
4096,5665,0.9615180935569285,0.9819947043248014
