visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,2402,0,0,4,1.0,0.99833748960931,0.0,0.9991680532445923,0.0,0.0016625103906899418,0.99833748960931
1024,2266,2266,0,2244,0,0,22,1.0,0.9902912621359223,0.0,0.9951219512195122,0.0,0.009708737864077669,0.9902912621359223
2048,2348,2348,0,2307,0,0,41,1.0,0.9825383304940375,0.0,0.9911922663802364,0.0,0.01746166950596252,0.9825383304940375
4096,10232,5665,4567,5042,578,3989,623,0.897153024911032,0.8900264783759929,0.8734398948981826,0.8935755427558706,0.1265601051018174,0.10997352162400706,0.8826231430805317
