pitch_midi,count,top1,top3
40,85,0.8705882352941177,0.9176470588235294
41,44,0.7954545454545454,0.9090909090909091
42,88,0.5568181818181818,0.7272727272727273
43,110,0.7909090909090909,0.8818181818181818
44,108,0.7314814814814815,0.7870370370370371
45,129,0.7906976744186046,0.9147286821705426
46,159,0.6855345911949685,0.7735849056603774
47,211,0.8436018957345972,0.9289099526066351
48,110,0.8272727272727273,0.8818181818181818
49,202,0.9356435643564357,0.9801980198019802
50,227,0.8590308370044053,0.9559471365638766
51,166,0.8493975903614458,0.9337349397590361
52,255,0.8980392156862745,0.9450980392156862
53,163,0.8466257668711656,0.950920245398773
54,274,0.9197080291970803,0.9781021897810219
55,234,0.7649572649572649,0.8504273504273504
56,355,0.9492957746478873,0.9830985915492958
57,335,0.8537313432835821,0.9313432835820895
58,297,0.9494949494949495,0.9797979797979798
59,726,0.8980716253443526,0.9504132231404959
60,499,0.9579158316633266,0.969939879759519
61,840,0.944047619047619,0.9714285714285714
62,684,0.9137426900584795,0.9707602339181286
63,636,0.9449685534591195,0.9842767295597484
64,697,0.9354375896700143,0.9813486370157819
65,817,0.9620563035495716,0.99265605875153
66,473,0.9556025369978859,0.9788583509513742
67,719,0.9652294853963839,0.9944367176634215
68,580,0.9241379310344827,0.9741379310344828
69,488,0.9610655737704918,0.9815573770491803
70,533,0.9587242026266416,0.9831144465290806
71,333,0.9669669669669669,0.990990990990991
72,511,0.9843444227005871,0.9980430528375733
73,201,0.9900497512437811,0.9950248756218906
74,263,0.9467680608365019,0.9809885931558935
75,90,0.9777777777777777,0.9888888888888889
76,43,1.0,1.0
