visible_window,count,top1,top3
512,2406,0.8113050706566916,0.9081463009143808
1024,2266,0.9183583406884378,0.9620476610767873
2048,2348,0.9408006814310051,0.9791311754684838
4096,5665,0.9608120035304502,0.9832303618711385
