epoch,harmonic_amplitude_loss,harmonic_offset_cents_loss,loss,lr,pitch_loss,pitch_top1,pitch_top3,val_harmonic_amplitude_loss,val_harmonic_offset_cents_loss,val_loss,val_pitch_loss,val_pitch_top1,val_pitch_top3
0,0.05853996425867081,0.22214163839817047,1.033390760421753,0.001,1.0105760097503662,0.7192535400390625,0.8742548823356628,0.05089491978287697,0.17251864075660706,0.7419242262840271,0.7231191396713257,0.8326696157455444,0.9200726747512817
1,0.04656115546822548,0.1423102468252182,0.6170908808708191,0.001,0.6006624102592468,0.8501812815666199,0.9379676580429077,0.04873087257146835,0.16497908532619476,0.7042247653007507,0.6862293481826782,0.8374903798103333,0.9222385287284851
2,0.0449507012963295,0.13984625041484833,0.55254065990448,0.001,0.5365585684776306,0.8635889291763306,0.9437339901924133,0.047734927386045456,0.16226647794246674,0.6500974893569946,0.6324372887611389,0.8567735552787781,0.927757978439331
3,0.04404088854789734,0.13914336264133453,0.5132393836975098,0.001,0.4974740147590637,0.8733174204826355,0.9465640783309937,0.046594493091106415,0.1635923534631729,0.6471055150032043,0.6296067833900452,0.8614546060562134,0.9269894361495972
4,0.04334612563252449,0.13864654302597046,0.48826929926872253,0.001,0.472667932510376,0.8779693841934204,0.9510214924812317,0.046157464385032654,0.16203996539115906,0.640955924987793,0.6236225366592407,0.860755980014801,0.9294347763061523
5,0.04265376180410385,0.13799504935741425,0.46154406666755676,0.001,0.44611334800720215,0.8831343650817871,0.9542407393455505,0.045292723923921585,0.16065828502178192,0.6403196454048157,0.6232286095619202,0.8582407832145691,0.9297142624855042
6,0.0421476811170578,0.1376909464597702,0.4425050914287567,0.001,0.4271906018257141,0.8872026205062866,0.9568055272102356,0.04497712105512619,0.16104573011398315,0.6516862511634827,0.6346384286880493,0.8638300895690918,0.9279676079750061
7,0.041778936982154846,0.13774655759334564,0.41899657249450684,0.001,0.4037538766860962,0.8908640742301941,0.9589458107948303,0.043542977422475815,0.1596027910709381,0.64859539270401,0.6319063901901245,0.8562146425247192,0.9266400933265686
8,0.04097349941730499,0.13427706062793732,0.3631492555141449,0.0005,0.34824052453041077,0.9033165574073792,0.9663571119308472,0.04334844648838043,0.15827342867851257,0.6715529561042786,0.6549692153930664,0.8611052632331848,0.9279676079750061
9,0.04072596877813339,0.13452979922294617,0.3423198163509369,0.0005,0.32744812965393066,0.9082161784172058,0.9693464040756226,0.043256811797618866,0.15858207643032074,0.7079490423202515,0.6913686394691467,0.8608956933021545,0.9281771779060364
10,0.04028705507516861,0.13283254206180573,0.30183014273643494,0.00025,0.2871308922767639,0.9170956015586853,0.9751834869384766,0.042764149606227875,0.15632769465446472,0.7084983587265015,0.6921285390853882,0.8600572943687439,0.9261510372161865
11,0.040140550583601,0.1329202651977539,0.28671783208847046,0.00025,0.27204349637031555,0.9204740524291992,0.9765632152557373,0.04243463650345802,0.15789248049259186,0.7211839556694031,0.7048027515411377,0.8578215837478638,0.9265702366828918
