visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,2402,0,0,4,1.0,0.99833748960931,0.0,0.9991680532445923,0.0,0.0016625103906899418,0.99833748960931
1024,2266,2266,0,2242,0,0,24,1.0,0.9894086496028244,0.0,0.994676131322094,0.0,0.01059135039717564,0.9894086496028244
2048,2348,2348,0,2278,0,0,70,1.0,0.9701873935264055,0.0,0.9848681366191094,0.0,0.029812606473594547,0.9701873935264055
4096,12759,6595,6164,5904,815,5349,691,0.8787021878255693,0.8952236542835481,0.8677806619078521,0.8868859846777828,0.13221933809214795,0.10477634571645186,0.8819656712908536
