epoch,auc_pr,loss,precision,recall,val_auc_pr,val_loss,val_precision,val_recall
0,0.5508020520210266,0.7145825028419495,0.5403256416320801,0.30118194222450256,0.5719388723373413,0.6884208917617798,0.5934959053993225,0.6636363863945007
1,0.6713943481445312,0.7018707394599915,0.6272279620170593,0.7798649072647095,0.7580111026763916,0.6742309927940369,0.6991614103317261,0.7579545378684998
2,0.7276159524917603,0.6874369978904724,0.7202883958816528,0.6114394068717957,0.7808582186698914,0.6528664827346802,0.7319148778915405,0.7818182110786438
3,0.735091507434845,0.6689177751541138,0.7230414748191833,0.6623047590255737,0.786757230758667,0.6227394938468933,0.7043478488922119,0.8284090757369995
4,0.7427244782447815,0.6492106914520264,0.7152202129364014,0.6922752261161804,0.7887924909591675,0.5949452519416809,0.6981308460235596,0.8488636612892151
5,0.7490191459655762,0.6344121098518372,0.7126484513282776,0.7218235731124878,0.7922180891036987,0.5792484283447266,0.7170582413673401,0.7977272868156433
6,0.7540603876113892,0.6259482502937317,0.7227203249931335,0.6975517272949219,0.7977505326271057,0.5676804780960083,0.6963449120521545,0.8443182110786438
7,0.7639972567558289,0.6196028590202332,0.7246876358985901,0.7100042104721069,0.8022310733795166,0.5620394945144653,0.7115198373794556,0.8352272510528564
8,0.7708731889724731,0.6146933436393738,0.7282747030258179,0.7252005338668823,0.8061866760253906,0.5580449104309082,0.7245631814002991,0.8011363744735718
9,0.778120756149292,0.6090298891067505,0.733477771282196,0.7144364714622498,0.8097370862960815,0.5557262301445007,0.729411780834198,0.7749999761581421
10,0.7831794619560242,0.6046409010887146,0.7419140338897705,0.7068383097648621,0.8131759166717529,0.55006343126297,0.7207920551300049,0.8272727131843567
11,0.7886698842048645,0.5999128222465515,0.7439613342285156,0.7150696516036987,0.8165261149406433,0.5462859272956848,0.7245935201644897,0.8102272748947144
12,0.7923710346221924,0.5967027544975281,0.7431610822677612,0.7224567532539368,0.8186948895454407,0.5442942380905151,0.7310488224029541,0.800000011920929
13,0.7979904413223267,0.5926554203033447,0.7540724277496338,0.7034613490104675,0.8211225867271423,0.5413010716438293,0.716796875,0.8340908885002136
14,0.8009868264198303,0.5892956852912903,0.749618649482727,0.726044774055481,0.8224977254867554,0.5417746305465698,0.7461197376251221,0.7647727131843567
15,0.8014246821403503,0.5865715742111206,0.758863627910614,0.7047277092933655,0.8234820365905762,0.5428204536437988,0.7525891661643982,0.7431818246841431
16,0.8079133033752441,0.5819268822669983,0.7586820721626282,0.7192908525466919,0.8247715830802917,0.5386766195297241,0.7477477192878723,0.7545454502105713
17,0.8103793263435364,0.5791338682174683,0.7644927501678467,0.7125369310379028,0.8259375095367432,0.5371314883232117,0.7522830963134766,0.7488636374473572
18,0.8117426633834839,0.5774990916252136,0.7597001791000366,0.7273110747337341,0.8268534541130066,0.534003496170044,0.75,0.7670454382896423
19,0.8149184584617615,0.5740326642990112,0.7668571472167969,0.70810467004776,0.8279865384101868,0.5332854986190796,0.7514060735702515,0.7590909004211426
20,0.8166055083274841,0.5710678100585938,0.7690582871437073,0.7239341735839844,0.8279843926429749,0.54227215051651,0.7828282713890076,0.7045454382896423
21,0.8185456395149231,0.5692416429519653,0.7686265707015991,0.7228788733482361,0.8299139142036438,0.5348964333534241,0.7654761672019958,0.730681836605072
22,0.82122802734375,0.5663789510726929,0.7719693779945374,0.7230899333953857,0.8307528495788574,0.5308928489685059,0.7600922584533691,0.7488636374473572
23,0.8205618262290955,0.5662350654602051,0.7745120525360107,0.7119037508964539,0.8319934010505676,0.5261540412902832,0.7538631558418274,0.7761363387107849
24,0.8226970434188843,0.564351499080658,0.7700762748718262,0.7245673537254333,0.8319600224494934,0.5292153358459473,0.7665094137191772,0.7386363744735718
25,0.8240087628364563,0.5614250302314758,0.7755240201950073,0.7262557744979858,0.8328453898429871,0.5339439511299133,0.784019947052002,0.7136363387107849
26,0.8257585167884827,0.5600185394287109,0.7797619104385376,0.7188687324523926,0.8342199325561523,0.5240050554275513,0.7550562024116516,0.7636363506317139
27,0.826921820640564,0.5585899353027344,0.7773730754852295,0.7207682728767395,0.834858775138855,0.5252383351325989,0.765389084815979,0.7488636374473572
28,0.8282595276832581,0.5573004484176636,0.7774521112442017,0.7277331948280334,0.8348907828330994,0.5311501026153564,0.7887499928474426,0.7170454263687134
29,0.8264478445053101,0.5575788021087646,0.7790592312812805,0.7271000146865845,0.834826648235321,0.5273701548576355,0.778181791305542,0.7295454740524292
30,0.8282302618026733,0.555393636226654,0.7811080813407898,0.726044774055481,0.8360435962677002,0.5261343121528625,0.7783132791519165,0.7340909242630005
31,0.8294956088066101,0.5544304251670837,0.7762020826339722,0.7393414974212646,0.8367195129394531,0.5331570506095886,0.7971391677856445,0.6965909004211426
32,0.8283578753471375,0.5555734634399414,0.7890207171440125,0.7159138917922974,0.8378531336784363,0.5155946612358093,0.75,0.8011363744735718
33,0.8295491337776184,0.5531135201454163,0.777703583240509,0.7376530170440674,0.8373188376426697,0.5265944600105286,0.7940074801445007,0.7227272987365723
34,0.8303098082542419,0.5521371960639954,0.7845454812049866,0.7285774350166321,0.8380036950111389,0.5250400900840759,0.7937887907028198,0.7261363863945007
35,0.8289427757263184,0.5536171197891235,0.7852519750595093,0.7169691920280457,0.839113712310791,0.5177847743034363,0.766590416431427,0.7613636255264282
36,0.8316714763641357,0.5505356788635254,0.7807450890541077,0.7342760562896729,0.8391361832618713,0.5367106795310974,0.8146611452102661,0.6693181991577148
37,0.8321853876113892,0.5502433180809021,0.7893406748771667,0.7252005338668823,0.839535117149353,0.5192075371742249,0.7764706015586853,0.75
