epoch,active_accuracy,active_loss,attack_phase_accuracy,attack_phase_loss,loss,lr,onset_accuracy,onset_loss,pitch_loss,pitch_top1,pitch_top3,release_phase_accuracy,release_phase_loss,val_active_accuracy,val_active_loss,val_attack_phase_accuracy,val_attack_phase_loss,val_loss,val_onset_accuracy,val_onset_loss,val_pitch_loss,val_pitch_top1,val_pitch_top3,val_release_phase_accuracy,val_release_phase_loss
0,0.6838564872741699,0.5378081202507019,0.7903587222099304,0.49561911821365356,6.266523361206055,0.001,0.878923773765564,0.2597286105155945,2.1648292541503906,0.1031390130519867,0.25448429584503174,0.7455157041549683,0.5138436555862427,0.8169642686843872,0.4453502297401428,0.8571428656578064,0.3924861550331116,5.301485538482666,0.8660714030265808,0.18232710659503937,1.8747347593307495,0.1026785746216774,0.2767857015132904,0.7723214030265808,0.4406890273094177
1,0.8161435127258301,0.3998136520385742,0.8621076345443726,0.34310686588287354,4.957345485687256,0.001,0.9495515823364258,0.15627774596214294,1.7738207578659058,0.10201793909072876,0.2970851957798004,0.773542582988739,0.4323665499687195,0.8348214030265808,0.3244990408420563,0.8571428656578064,0.30742761492729187,4.5100579261779785,0.9776785969734192,0.1390543431043625,1.6427851915359497,0.1026785746216774,0.3392857015132904,0.7901785969734192,0.3839793801307678
2,0.8464125394821167,0.32993006706237793,0.8531390428543091,0.3320049047470093,4.684614658355713,0.001,0.9293721914291382,0.1511157900094986,1.7165166139602661,0.1132287010550499,0.3329596519470215,0.8307175040245056,0.362972617149353,0.875,0.2975578010082245,0.8660714030265808,0.2879066467285156,4.417510509490967,1.0,0.14501135051250458,1.6118667125701904,0.1205357164144516,0.3660714328289032,0.8392857313156128,0.3907957375049591
3,0.8621076345443726,0.29646071791648865,0.8721973299980164,0.30032676458358765,4.506006240844727,0.001,0.9417040348052979,0.13497190177440643,1.6839555501937866,0.10874439775943756,0.3139013350009918,0.8430493474006653,0.33884966373443604,0.8616071343421936,0.2722647786140442,0.8973214030265808,0.2519155442714691,3.966473340988159,1.0,0.10377388447523117,1.4716452360153198,0.1205357164144516,0.3348214328289032,0.8526785969734192,0.34334203600883484
4,0.8800448179244995,0.27679869532585144,0.865470826625824,0.29655423760414124,4.361327171325684,0.001,0.9843049049377441,0.1141064465045929,1.6684000492095947,0.1165919303894043,0.33183857798576355,0.878923773765564,0.2800145149230957,0.9107142686843872,0.19767801463603973,0.875,0.24764227867126465,4.0086493492126465,1.0,0.10272256284952164,1.6077898740768433,0.1383928507566452,0.3303571343421936,0.9285714030265808,0.19366595149040222
5,0.894618809223175,0.2582450211048126,0.8665919303894043,0.29452449083328247,4.372230052947998,0.001,0.9854260087013245,0.1080646887421608,1.6889681816101074,0.13789238035678864,0.32847532629966736,0.8957399129867554,0.2794274687767029,0.9151785969734192,0.19105125963687897,0.8928571343421936,0.24520467221736908,3.8665778636932373,1.0,0.0926264151930809,1.5000346899032593,0.1294642835855484,0.3125,0.875,0.29131263494491577
6,0.8934977650642395,0.24117310345172882,0.8800448179244995,0.26967957615852356,4.188210487365723,0.001,0.9786995649337769,0.10370206087827682,1.6299182176589966,0.13452914357185364,0.3374439477920532,0.8800448179244995,0.26196807622909546,0.9285714030265808,0.1918930858373642,0.9017857313156128,0.22471369802951813,3.9072279930114746,1.0,0.09022632986307144,1.5420427322387695,0.09375,0.3214285671710968,0.8839285969734192,0.27119654417037964
7,0.9147982001304626,0.21187937259674072,0.8733183741569519,0.28196588158607483,4.182956695556641,0.001,0.9786995649337769,0.09541483223438263,1.6564900875091553,0.13116592168807983,0.3464125692844391,0.902466356754303,0.2330089509487152,0.8571428656578064,0.3283335864543915,0.875,0.3049736022949219,4.096547603607178,1.0,0.08137476444244385,1.5336464643478394,0.125,0.4017857015132904,0.9017857313156128,0.2738853991031647
8,0.8968609571456909,0.2459685504436493,0.8699551820755005,0.27664119005203247,4.146434307098389,0.001,0.9955157041549683,0.08287961035966873,1.6285417079925537,0.1401345282793045,0.3329596519470215,0.8934977650642395,0.24242201447486877,0.9196428656578064,0.21272066235542297,0.8883928656578064,0.2673216462135315,3.9105420112609863,1.0,0.07169360667467117,1.5360772609710693,0.1205357164144516,0.3526785671710968,0.8928571343421936,0.25080475211143494
9,0.8979820609092712,0.22585295140743256,0.8934977650642395,0.2562876045703888,4.061354637145996,0.0005,0.9966367483139038,0.07670015096664429,1.6143885850906372,0.14573991298675537,0.35538116097450256,0.9013453125953674,0.235386922955513,0.9241071343421936,0.18428371846675873,0.8973214030265808,0.22951564192771912,4.073639869689941,1.0,0.07718746364116669,1.684194564819336,0.1607142835855484,0.3392857015132904,0.9375,0.17567069828510284
10,0.9125560522079468,0.21140553057193756,0.8755605220794678,0.2619079053401947,3.9961626529693604,0.0005,1.0,0.07088493555784225,1.59577214717865,0.13452914357185364,0.35874438285827637,0.9103139042854309,0.22497780621051788,0.9464285969734192,0.177317276597023,0.8928571343421936,0.2652910053730011,4.056028842926025,1.0,0.0765383243560791,1.6552002429962158,0.1696428507566452,0.3883928656578064,0.9196428656578064,0.18821248412132263
11,0.9147982001304626,0.2028540074825287,0.8778026700019836,0.2622899115085602,3.9486725330352783,0.0005,1.0,0.07091499865055084,1.5743632316589355,0.14461883902549744,0.3508968651294708,0.8979820609092712,0.22842919826507568,0.9017857313156128,0.20615091919898987,0.9107142686843872,0.2361103743314743,3.995267629623413,1.0,0.06862785667181015,1.6411054134368896,0.1741071492433548,0.3973214328289032,0.9419642686843872,0.1678534299135208
