epoch,auc_pr,loss,precision,recall,val_auc_pr,val_loss,val_precision,val_recall
0,0.7126685380935669,0.6141129732131958,0.6581854820251465,0.6746439933776855,0.4823956787586212,0.5916959047317505,0.3863719701766968,0.7072679400444031
1,0.7715206146240234,0.565701425075531,0.7119011282920837,0.719119131565094,0.51737380027771,0.5728186964988708,0.4196796119213104,0.6970159411430359
2,0.7848168015480042,0.5508860349655151,0.7203236222267151,0.7413497567176819,0.5225861072540283,0.6032751202583313,0.3787226378917694,0.778360903263092
3,0.7952244877815247,0.5403413772583008,0.7257280349731445,0.7535110116004944,0.5338431596755981,0.5812748074531555,0.40506836771965027,0.7413193583488464
4,0.8042957186698914,0.5304168462753296,0.731840193271637,0.7624088525772095,0.5459601879119873,0.5294243693351746,0.4308612644672394,0.6987856030464172
5,0.8088434934616089,0.5247388482093811,0.7346024513244629,0.7663416862487793,0.5577510595321655,0.6044268608093262,0.387615829706192,0.8041130304336548
6,0.8146203756332397,0.5180476903915405,0.7400405406951904,0.769186794757843,0.5553890466690063,0.6181586384773254,0.38250020146369934,0.8157685995101929
7,0.8168779015541077,0.515913188457489,0.7400763034820557,0.7738170027732849,0.5606110095977783,0.5491721034049988,0.4230533540248871,0.7579178810119629
8,0.8198676109313965,0.5124719738960266,0.7410503029823303,0.7728407382965088,0.5630685687065125,0.5619264841079712,0.4218481183052063,0.7630438804626465
9,0.8219632506370544,0.5099089741706848,0.7426763772964478,0.7760902643203735,0.5585815906524658,0.5051308870315552,0.46639710664749146,0.6687008142471313
10,0.8250943422317505,0.506060779094696,0.7457094788551331,0.781110942363739,0.5693082213401794,0.5397884249687195,0.439608633518219,0.7402819395065308
11,0.8260715007781982,0.5037796497344971,0.746489405632019,0.7799394726753235,0.5683346390724182,0.5071464776992798,0.4607154428958893,0.6963446736335754
12,0.829190731048584,0.5004739165306091,0.7485931515693665,0.7829100489616394,0.5644204020500183,0.5423299074172974,0.4307951331138611,0.7498626708984375
13,0.8376245498657227,0.4891658127307892,0.7557093501091003,0.7886978387832642,0.5697434544563293,0.5644621253013611,0.41354089975357056,0.7797644734382629
14,0.8396819829940796,0.4856148660182953,0.7578099966049194,0.7916405200958252,0.5695983171463013,0.5422773957252502,0.43280646204948425,0.7519375085830688
