visible_window,count,top1,top3
512,8715,0.06437177280550775,0.17119908204245554
1024,8715,0.07412507171543316,0.20229489386115893
2048,8715,0.07825588066551922,0.20791738382099828
4096,21118,0.08343593143290085,0.2084951226441898
