epoch,harmonic_amplitude_loss,harmonic_offset_cents_loss,loss,lr,pitch_loss,pitch_top1,pitch_top3,val_harmonic_amplitude_loss,val_harmonic_offset_cents_loss,val_loss,val_pitch_loss,val_pitch_top1,val_pitch_top3
0,0.060072679072618484,0.22617150843143463,1.016833782196045,0.001,1.0115692615509033,0.7185283303260803,0.8742902874946594,0.05119527131319046,0.17054975032806396,0.7277529835700989,0.7234872579574585,0.8390973210334778,0.9196534752845764
1,0.046983927488327026,0.14215154945850372,0.6039329171180725,0.001,0.600162923336029,0.8504819869995117,0.9384275078773499,0.04970944672822952,0.16450221836566925,0.6848865747451782,0.680756151676178,0.8417522311210632,0.9235659837722778
2,0.045721493661403656,0.13985469937324524,0.5369067788124084,0.001,0.5332223176956177,0.8652870059013367,0.9441054463386536,0.048595648258924484,0.16503265500068665,0.6474552750587463,0.6433754563331604,0.85502690076828,0.9267100095748901
3,0.044978708028793335,0.1394542157649994,0.4993331730365753,0.001,0.4956901967525482,0.8732466697692871,0.9464579224586487,0.04785609617829323,0.16307882964611053,0.6388909816741943,0.6348673701286316,0.8585202097892761,0.9253126382827759
4,0.04454067721962929,0.13904695212841034,0.47388792037963867,0.001,0.4702707529067993,0.8778809309005737,0.9514990448951721,0.04697193577885628,0.16324593126773834,0.6312631368637085,0.6272823810577393,0.8597778081893921,0.9299936890602112
5,0.04341691732406616,0.13845625519752502,0.4468335509300232,0.001,0.44327905774116516,0.8832404613494873,0.9541345834732056,0.04565044119954109,0.16104894876480103,0.6374732255935669,0.6335801482200623,0.8589394092559814,0.9271990656852722
6,0.0429999902844429,0.13825099170207977,0.42969417572021484,0.001,0.42616167664527893,0.8870080709457397,0.9567347764968872,0.04557684436440468,0.1613255739212036,0.6400091648101807,0.6361171007156372,0.8656466007232666,0.930273175239563
7,0.04239479452371597,0.1352311670780182,0.36973488330841064,0.0005,0.36626288294792175,0.9000088572502136,0.9638807773590088,0.04389011487364769,0.1583263874053955,0.642379641532898,0.6386017203330994,0.8627820611000061,0.9295744895935059
8,0.04213564097881317,0.1352369487285614,0.3488259017467499,0.0005,0.34536704421043396,0.9039356112480164,0.9667462706565857,0.04464998468756676,0.15807615220546722,0.6711582541465759,0.6673450469970703,0.862293004989624,0.9274784922599792
9,0.04181136190891266,0.13359136879444122,0.31042715907096863,0.00025,0.3070010840892792,0.9114177227020264,0.9717873930931091,0.04401184618473053,0.1589459627866745,0.6991428136825562,0.6953529715538025,0.86355060338974,0.9274784922599792
10,0.04162972792983055,0.13380497694015503,0.2957078814506531,0.00025,0.2922881245613098,0.9156274795532227,0.9738392233848572,0.043758876621723175,0.15802356600761414,0.7150128483772278,0.7112439274787903,0.8613847494125366,0.9278278350830078
11,0.041479337960481644,0.13305063545703888,0.2725068926811218,0.000125,0.2691023349761963,0.9208455085754395,0.9766162633895874,0.04350968822836876,0.15722964704036713,0.7166533470153809,0.7129052877426147,0.8625026345252991,0.9270592927932739
