epoch,loss,lr,top1,top3,val_loss,val_top1,val_top3
0,3.391456127166748,0.001,0.05923928692936897,0.1675391048192978,3.358900785446167,0.061491601169109344,0.17035259306430817
1,3.297344923019409,0.001,0.08145561814308167,0.21553990244865417,3.314892292022705,0.07627838104963303,0.20625807344913483
2,3.2464065551757812,0.001,0.09205741435289383,0.23935014009475708,3.316960096359253,0.07603839784860611,0.20817795395851135
3,3.2117342948913574,0.001,0.09931757301092148,0.2521739900112152,3.3573296070098877,0.07482001185417175,0.20252907276153564
4,3.152249336242676,0.0005,0.10903909057378769,0.2724374830722809,3.3700835704803467,0.07978586107492447,0.2096547931432724
5,3.1181797981262207,0.0005,0.11609840393066406,0.28551772236824036,3.395721435546875,0.0769798755645752,0.2009599357843399
6,3.069859743118286,0.00025,0.125738725066185,0.30243101716041565,3.430265188217163,0.07651837170124054,0.20520582795143127
7,3.046884775161743,0.00025,0.12937094271183014,0.3107466697692871,3.445828914642334,0.07504153251647949,0.20430126786231995
8,3.0168232917785645,0.000125,0.13548588752746582,0.32127153873443604,3.478522777557373,0.07480154931545258,0.2038397639989853
9,3.004487991333008,0.000125,0.13755838572978973,0.32429268956184387,3.495913028717041,0.0739339143037796,0.20094147324562073
