visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,517,0,0,1889,1.0,0.21487946799667498,0.0,0.35374615121450564,0.0,0.785120532003325,0.21487946799667498
1024,2266,0,2266,0,336,1930,0,0.0,0.0,0.851721094439541,0.0,0.14827890556045895,0.0,0.851721094439541
2048,2348,0,2348,0,225,2123,0,0.0,0.0,0.9041737649063032,0.0,0.09582623509369677,0.0,0.9041737649063032
4096,10232,0,10232,0,324,9908,0,0.0,0.0,0.9683346364347146,0.0,0.031665363565285376,0.0,0.9683346364347146
