pitch_midi,count,top1,top3
40,85,0.8588235294117647,0.9294117647058824
41,44,0.36363636363636365,0.9090909090909091
42,88,0.625,0.7840909090909091
43,110,0.7454545454545455,0.8818181818181818
44,108,0.7129629629629629,0.7870370370370371
45,129,0.7829457364341085,0.8837209302325582
46,159,0.7735849056603774,0.8553459119496856
47,211,0.7725118483412322,0.8672985781990521
48,110,0.7727272727272727,0.8454545454545455
49,202,0.9257425742574258,0.9851485148514851
50,227,0.8149779735682819,0.9251101321585903
51,166,0.8192771084337349,0.9216867469879518
52,255,0.8352941176470589,0.9764705882352941
53,163,0.9079754601226994,0.9693251533742331
54,274,0.8905109489051095,0.9781021897810219
55,234,0.7649572649572649,0.8974358974358975
56,355,0.9323943661971831,0.9802816901408451
57,335,0.808955223880597,0.9223880597014925
58,297,0.9562289562289562,0.9831649831649831
59,726,0.8305785123966942,0.940771349862259
60,499,0.935871743486974,0.969939879759519
61,840,0.9380952380952381,0.9678571428571429
62,684,0.9064327485380117,0.9707602339181286
63,636,0.9119496855345912,0.970125786163522
64,697,0.9512195121951219,0.9799139167862266
65,817,0.9583843329253366,0.988984088127295
66,473,0.9386892177589852,0.9661733615221987
67,719,0.952712100139082,0.9930458970792768
68,580,0.9379310344827586,0.9689655172413794
69,488,0.9590163934426229,0.9795081967213115
70,533,0.9512195121951219,0.9887429643527205
71,333,0.9129129129129129,0.9819819819819819
72,511,0.974559686888454,0.9960861056751468
73,201,0.9900497512437811,1.0
74,263,0.9505703422053232,0.9771863117870723
75,90,0.9777777777777777,0.9888888888888889
76,43,1.0,1.0
