release_phase,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
0.0,15368,13615,1753,12826,215,1538,789,0.9835135342381719,0.9420492104296732,0.8773531089560753,0.9623349339735895,0.1226468910439247,0.057950789570326844,0.9346694429984383
1.0,4411,0,4411,0,600,3811,0,0.0,0.0,0.8639764225799138,0.0,0.13602357742008614,0.0,0.8639764225799138
