pitch_midi,count,top1,top3
40,88,0.8863636363636364,0.9772727272727273
41,54,0.6666666666666666,0.9074074074074074
42,89,0.5617977528089888,0.6179775280898876
43,126,0.7698412698412699,0.8968253968253969
44,114,0.7368421052631579,0.7631578947368421
45,135,0.7703703703703704,0.8592592592592593
46,177,0.751412429378531,0.8248587570621468
47,219,0.8812785388127854,0.9497716894977168
48,124,0.7741935483870968,0.8951612903225806
49,220,0.9454545454545454,0.9863636363636363
50,234,0.8247863247863247,0.9444444444444444
51,173,0.9075144508670521,0.9479768786127167
52,260,0.8807692307692307,0.9538461538461539
53,172,0.8546511627906976,0.9534883720930233
54,289,0.8823529411764706,0.972318339100346
55,237,0.7510548523206751,0.8438818565400844
56,361,0.9501385041551247,0.9778393351800554
57,340,0.8647058823529412,0.9235294117647059
58,305,0.9508196721311475,0.9836065573770492
59,756,0.8835978835978836,0.9431216931216931
60,527,0.9468690702087287,0.9715370018975332
61,911,0.9440175631174533,0.969264544456641
62,725,0.9186206896551724,0.9724137931034482
63,699,0.949928469241774,0.9842632331902719
64,767,0.9569752281616688,0.9778357235984355
65,883,0.9614949037372593,0.9909399773499433
66,516,0.939922480620155,0.9767441860465116
67,785,0.9592356687898089,0.9910828025477707
68,644,0.9425465838509317,0.9782608695652174
69,540,0.9666666666666667,0.987037037037037
70,586,0.9590443686006825,0.9726962457337884
71,362,0.9696132596685083,0.994475138121547
72,550,0.9781818181818182,0.9963636363636363
73,216,0.9907407407407407,1.0
74,289,0.916955017301038,0.9550173010380623
75,91,0.978021978021978,0.989010989010989
76,51,1.0,1.0
