epoch,auc_pr,loss,precision,recall,val_auc_pr,val_loss,val_precision,val_recall
0,0.5167944431304932,1.6431766748428345,0.5253403782844543,0.6217547059059143,0.5435532927513123,0.6849257946014404,0.5637162327766418,1.0
1,0.560111403465271,1.5261708498001099,0.5433540344238281,1.0,0.6801708936691284,0.6898024678230286,0.5633625984191895,1.0
2,0.6419333219528198,1.4863471984863281,0.5432879328727722,1.0,0.7512040734291077,0.684838593006134,0.5633625984191895,1.0
3,0.6882227659225464,1.452849268913269,0.5467484593391418,0.9973142147064209,0.7735904455184937,0.6712691187858582,0.5725239515304565,0.9977728128433228
4,0.7145357131958008,1.408790946006775,0.5529116988182068,0.9881378412246704,0.7826066017150879,0.6584101915359497,0.5770725607872009,0.9922049045562744
5,0.7259491682052612,1.356093406677246,0.5594995021820068,0.9807519912719727,0.7842258214950562,0.6375837326049805,0.5903614163398743,0.9821826219558716
6,0.7298510074615479,1.3077545166015625,0.5828657746315002,0.953222930431366,0.7848464250564575,0.6311128735542297,0.611384391784668,0.9688196182250977
7,0.7362732291221619,1.27506422996521,0.6084632277488708,0.9171888828277588,0.7861712574958801,0.6279082894325256,0.6259151101112366,0.9521158337593079
8,0.7389366030693054,1.2582639455795288,0.620552122592926,0.9055505990982056,0.7877508401870728,0.6182576417922974,0.6390577554702759,0.9365255832672119
9,0.7429835796356201,1.2471643686294556,0.6294600367546082,0.8923455476760864,0.7894511222839355,0.6193296909332275,0.6423637866973877,0.9320712685585022
10,0.7467727661132812,1.2396005392074585,0.6339113712310791,0.8836168050765991,0.7918305397033691,0.6190068125724792,0.6450116038322449,0.9287304878234863
11,0.7497753500938416,1.234886884689331,0.6344972252845764,0.8784691095352173,0.7940212488174438,0.6141630411148071,0.6519684791564941,0.9220489859580994
12,0.7517054677009583,1.2310250997543335,0.6343740224838257,0.8822739720344543,0.7958320379257202,0.6242189407348633,0.6454823613166809,0.9387527704238892
13,0.7546795606613159,1.2261747121810913,0.6390378475189209,0.8800358176231384,0.7984791994094849,0.6108126044273376,0.6501960754394531,0.923162579536438
14,0.7575274109840393,1.2228646278381348,0.6374495625495911,0.8838406205177307,0.7986708283424377,0.6080241203308105,0.6548182964324951,0.923162579536438
15,0.7598916292190552,1.218907117843628,0.6381909251213074,0.8811548948287964,0.8003073930740356,0.5997820496559143,0.6615878343582153,0.9187082648277283
16,0.7624737024307251,1.2154192924499512,0.6420398950576782,0.8791405558586121,0.8023694753646851,0.610017716884613,0.6556082367897034,0.9242761731147766
