visible_window,count,top1,top3
512,8715,0.04589787722317843,0.13734939759036144
1024,8715,0.04589787722317843,0.13734939759036144
2048,8715,0.04555364314400459,0.13734939759036144
4096,21118,0.04858414622596837,0.13666066862392273
