epoch,loss,lr,top1,top3,val_loss,val_top1,val_top3
0,1.0123802423477173,0.001,0.7194304466247559,0.8737773299217224,0.7245872020721436,0.8381890654563904,0.920002818107605
1,0.6006684303283691,0.001,0.8507473468780518,0.9380560517311096,0.6795393824577332,0.8431496024131775,0.9236358404159546
2,0.5335803627967834,0.001,0.8652870059013367,0.9442822933197021,0.6429644823074341,0.8555159568786621,0.9268497228622437
3,0.4955677092075348,0.001,0.8726452589035034,0.946988582611084,0.6373542547225952,0.8594284653663635,0.9265003800392151
4,0.4701722264289856,0.001,0.8785707950592041,0.9514814019203186,0.6320456862449646,0.8599175810813904,0.9289457201957703
5,0.44368964433670044,0.001,0.8832581639289856,0.9542760848999023,0.634170413017273,0.8586599826812744,0.927757978439331
6,0.42604193091392517,0.001,0.8867958188056946,0.9565932750701904,0.6433018445968628,0.8657164573669434,0.9298539757728577
7,0.36659151315689087,0.0005,0.8999911546707153,0.964146077632904,0.6430351138114929,0.8625724911689758,0.9276881217956543
8,0.346822589635849,0.0005,0.903864860534668,0.9664455652236938,0.648791491985321,0.8645287752151489,0.9288758635520935
9,0.3080776035785675,0.00025,0.9124259352684021,0.971575140953064,0.6947697401046753,0.8634108901023865,0.9285265207290649
10,0.29293757677078247,0.00025,0.9159458875656128,0.9736446738243103,0.7065839171409607,0.8629218339920044,0.9268497228622437
11,0.26965129375457764,0.000125,0.9209162592887878,0.9762448072433472,0.7111514806747437,0.8639698028564453,0.9268497228622437
