visible_window,count,top1,top3
512,2406,0.8025768911055694,0.9068994181213632
1024,2266,0.9157105030891438,0.9620476610767873
2048,2348,0.9420783645655877,0.9765758091993185
4096,5665,0.9648720211827008,0.9827007943512798
