visible_window,count,top1,top3
512,8691,0.02577378897710275,0.0866413531239213
1024,8691,0.03751006788631918,0.11598205039696237
2048,8691,0.04073179150845702,0.12668277528477737
4096,21059,0.04819792012916093,0.13785080013295978
