visible_window,count,top1,top3
512,2406,0.8054862842892768,0.9089775561097256
1024,2266,0.9174757281553398,0.9633715798764343
2048,2348,0.9454855195911414,0.977427597955707
4096,6595,0.9596664139499621,0.9833206974981046
