pitch_midi,count,top1,top3
40,88,0.7727272727272727,0.9545454545454546
41,54,0.8148148148148148,0.8888888888888888
42,89,0.6179775280898876,0.7191011235955056
43,126,0.7857142857142857,0.9047619047619048
44,114,0.7105263157894737,0.7894736842105263
45,135,0.762962962962963,0.9333333333333333
46,177,0.7740112994350282,0.864406779661017
47,219,0.8401826484018264,0.9452054794520548
48,124,0.782258064516129,0.8548387096774194
49,220,0.9181818181818182,0.9727272727272728
50,234,0.9188034188034188,0.9658119658119658
51,173,0.8728323699421965,0.9248554913294798
52,260,0.9,0.95
53,172,0.872093023255814,0.9418604651162791
54,289,0.9238754325259516,0.9757785467128027
55,237,0.7721518987341772,0.8649789029535865
56,361,0.9390581717451524,0.9833795013850416
57,340,0.8352941176470589,0.9294117647058824
58,305,0.9508196721311475,0.9836065573770492
59,756,0.8994708994708994,0.9484126984126984
60,527,0.9449715370018975,0.9658444022770398
61,911,0.9462129527991219,0.9681668496158068
62,725,0.9213793103448276,0.9779310344827586
63,699,0.9556509298998569,0.9828326180257511
64,767,0.954367666232073,0.9830508474576272
65,883,0.9592298980747452,0.984144960362401
66,516,0.939922480620155,0.9767441860465116
67,785,0.9605095541401274,0.9961783439490446
68,644,0.9177018633540373,0.9736024844720497
69,540,0.9648148148148148,0.9833333333333333
70,586,0.9573378839590444,0.9761092150170648
71,362,0.9696132596685083,0.9917127071823204
72,550,0.9727272727272728,0.9981818181818182
73,216,0.9907407407407407,0.9953703703703703
74,289,0.9550173010380623,0.9826989619377162
75,91,0.978021978021978,0.989010989010989
76,51,1.0,1.0
