visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,2404,0,0,2,1.0,0.999168744804655,0.0,0.9995841995841996,0.0,0.0008312551953449709,0.999168744804655
1024,2266,2266,0,2254,0,0,12,1.0,0.9947043248014121,0.0,0.9973451327433629,0.0,0.00529567519858782,0.9947043248014121
2048,2348,2348,0,2308,0,0,40,1.0,0.9829642248722317,0.0,0.9914089347079038,0.0,0.017035775127768313,0.9829642248722317
4096,12759,6595,6164,5922,759,5405,673,0.8863942523574315,0.8979529946929492,0.8768656716417911,0.8921361855980717,0.12313432835820895,0.1020470053070508,0.8877654988635473
