visible_window,count,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,accuracy
512,2406,2406,0,1264,0,0,1142,1.0,0.5253532834580216,0.0,0.6888283378746595,0.0,0.4746467165419784,0.5253532834580216
1024,2266,0,2266,0,638,1628,0,0.0,0.0,0.7184466019417476,0.0,0.2815533980582524,0.0,0.7184466019417476
2048,2348,0,2348,0,220,2128,0,0.0,0.0,0.9063032367972743,0.0,0.09369676320272573,0.0,0.9063032367972743
4096,10232,0,10232,0,470,9762,0,0.0,0.0,0.9540656763096169,0.0,0.04593432369038311,0.0,0.9540656763096169
