visible_window,count,top1,top3
512,2406,0.7942643391521197,0.9023275145469659
1024,2266,0.9073256840247131,0.9611650485436893
2048,2348,0.9403747870528109,0.9748722316865417
4096,5665,0.9629302736098853,0.9818181818181818
