epoch,loss,lr,top1,top3,val_loss,val_top1,val_top3
0,3.4299962520599365,0.001,0.13741721212863922,0.28145694732666016,2.8260834217071533,0.17763157188892365,0.44736841320991516
1,2.6807639598846436,0.001,0.16556291282176971,0.41887417435646057,2.5917556285858154,0.14473684132099152,0.42105263471603394
2,2.4781553745269775,0.001,0.19039735198020935,0.4784768223762512,2.6014435291290283,0.17105263471603394,0.42105263471603394
3,2.3831090927124023,0.001,0.2102649062871933,0.4950331151485443,2.658536195755005,0.10526315867900848,0.34210526943206787
4,2.263413906097412,0.001,0.23509933054447174,0.5298013091087341,2.657449245452881,0.14473684132099152,0.3881579041481018
5,2.2036783695220947,0.0005,0.26490065455436707,0.5629138946533203,2.690995931625366,0.10526315867900848,0.33552631735801697
6,2.120633840560913,0.0005,0.2682119309902191,0.6192052960395813,2.68635892868042,0.09868421405553818,0.3684210479259491
7,2.072270393371582,0.0005,0.30463576316833496,0.6341059803962708,2.7629830837249756,0.09210526198148727,0.32236841320991516
