frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,inference_skipped,loop_ms,queue_delay_ms,queue_depth
58,0.34249433106575966,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.9987999999996333,2.49769999999927,1
59,0.34829931972789113,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.8668000000007225,3.425799999998702,0
60,0.35410430839002266,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,2.0001999999994524,2.745400000000231,2
61,0.3599092970521542,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.9519000000004496,3.751799999999861,1
62,0.3657142857142857,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,0.8815000000002016,4.685999999999524,0
63,0.37151927437641724,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.6990999999997314,2.0487000000013467,2
64,0.37732426303854877,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,2.4686999999996573,4.594200000001436,1
65,0.3831292517006803,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.0618000000004457,5.720099999999562,0
66,0.38893424036281177,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.6084000000002874,1.7857999999986163,2
67,0.3947392290249433,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,0.8334999999988213,2.024500000000984,1
68,0.4005442176870748,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.8763000000016063,2.8938000000007236,0
69,0.40634920634920635,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,1.2290000000003687,1.522400000000701,2
70,0.4121541950113379,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.8824000000000609,2.4007000000008105,1
71,0.4179591836734694,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,0.9140999999992516,3.3772000000009683,0
72,0.42376417233560093,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,1.146699999999612,1.4434000000012048,2
73,0.4295691609977324,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,5.107600000000545,6.5763000000007565,1
74,0.43537414965986393,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.1346000000003187,7.80880000000117,0
75,0.44117913832199546,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.4491999999997063,6.494599999999906,2
76,0.446984126984127,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,4.135499999998515,10.67179999999901,1
77,0.4527891156462585,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.8694000000003541,12.669700000000006,0
78,0.45859410430839004,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,2.444399999999902,2.7854999999998853,2
79,0.46439909297052157,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.6734000000013793,4.52759999999941,1
80,0.47020408163265304,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,1.3752000000000209,5.996200000000229,0
81,0.47600907029478456,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.0940999999995427,1.8317000000003247,2
82,0.4818140589569161,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.8146999999993909,2.660399999999896,1
83,0.4876190476190476,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,0.7785999999985194,3.4925000000001205,0
84,0.49342403628117915,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.2088999999999572,1.5286999999997164,2
85,0.4992290249433107,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,1.1460000000003134,2.6744000000000767,1
86,0.5050340136054422,0,4096,0,1.0,-63.051851137733614,,,,,,,,,0,0.9104999999998142,3.6120000000003927,0
87,0.5108390022675737,0,4096,0,1.0,-65.56881335004432,,,,,,,,,0,1.9577000000001732,2.1215999999988355,2
88,0.5166439909297053,0,4096,0,1.0,-66.59851680724387,,,,,,,,,0,0.9639999999997428,2.528899999999723,1
89,0.5224489795918368,0,4096,0,1.0,-70.82936568098799,,,,,,,,,0,0.8461999999997971,3.188699999999045,0
90,0.5282539682539683,0,4096,0,1.0,-73.13324441707768,,,,,,,,,0,2.095000000000624,2.3348999999992515,2
91,0.5340589569160997,0,4096,0,1.0,-73.39864164738776,,,,,,,,,0,0.7148000000007926,3.056300000000789,1
92,0.5398639455782313,0,4096,0,1.0,-71.60105750569264,,,,,,,,,0,0.5856000000008521,3.063300000000879,0
93,0.5456689342403628,0,4096,0,1.0,-73.33007611547848,,,,,,,,,0,1.5139000000008451,1.7651999999994672,2
94,0.5514739229024943,0,4096,0,1.0,-72.62577625640269,,,,,,,,,0,0.5392999999997983,2.2634000000003596,1
95,0.5572789115646258,0,4096,0,1.0,-75.91365197296335,,,,,,,,,0,0.5110000000012604,2.529100000000284,0
96,0.5630839002267574,0,4096,0,1.0,-76.01597172158608,,,,,,,,,0,0.9639999999997428,1.18450000000081,2
