frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,inference_skipped,loop_ms,queue_delay_ms,queue_depth
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,0.8221999999999952,4.254400000000658,2
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,0,0.7603999999989952,5.570000000000519,1
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.8537000000004014,6.4902000000000015,0
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,3.6184000000005767,3.934599999999122,2
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,2.437099999999859,6.438999999998529,1
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,2.104599999999124,8.783299999999272,0
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.930799999999678,3.192600000000212,2
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,2.1927000000001584,4.756099999999819,1
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,1.5543000000004525,6.300699999998827,0
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,3.3895000000008224,3.7412999999997254,2
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.541900000000652,6.5200999999994735,1
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.8502000000003562,7.432400000000783,0
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,2.747000000001165,3.0357999999992558,2
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.6965999999989378,4.901200000000827,1
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,1.2807999999999709,6.228899999999982,0
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.850700000000316,2.0706999999990927,2
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,1.5263999999994837,3.6731000000003178,1
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.6828000000010945,5.22519999999993,0
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.3239000000003784,2.7852999999993244,2
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,1.8884000000003454,4.661999999999722,1
20,0.1219047619047619,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.5016999999991612,5.162000000000333,0
21,0.12770975056689343,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,2.5116000000000582,2.8480000000001837,2
22,0.13351473922902493,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.1334999999993443,5.156200000000055,1
23,0.13931972789115646,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,1.2685000000001168,6.4837999999998175,0
24,0.14512471655328799,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,1.7782999999997884,2.0588000000003603,2
25,0.1509297052154195,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,1.9636999999992355,4.172499999999246,1
26,0.156734693877551,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.646999999999622,7.074899999999218,0
27,0.16253968253968254,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.168599999999742,1.5182000000013574,2
28,0.16834467120181407,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,1.723500000000655,3.2583999999999946,1
29,0.17414965986394557,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.2404999999997557,4.60230000000017,0
30,0.1799546485260771,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,1.5460000000011576,1.904899999999543,2
31,0.18575963718820862,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.2700000000016587,3.157100000001023,1
32,0.19156462585034015,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,1.2147999999996273,4.42250000000044,0
33,0.19736961451247165,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,2.226999999999535,2.515000000000711,2
34,0.20317460317460317,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.0970999999985196,4.7768000000001365,1
35,0.2089795918367347,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,0.6412999999998448,5.52809999999937,0
36,0.2147845804988662,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.7359999999992937,1.981100000000069,2
37,0.22058956916099773,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,1.8974000000007152,3.938200000000336,1
38,0.22639455782312926,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.6660999999990054,6.794900000000936,0
39,0.23219954648526078,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,1.6653000000008689,1.9447000000010206,2
40,0.23800453514739228,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,0.6930999999994469,2.7214999999998213,1
41,0.2438095238095238,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,0.42630000000087875,3.1535999999992015,0
42,0.24961451247165534,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.1205000000001917,2.630200000000471,2
43,0.25541950113378686,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.0666999999990878,3.5895000000003563,1
44,0.2612244897959184,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,1.1078999999991623,4.708799999999513,0
45,0.26702947845804986,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.5774999999997874,1.911800000000241,2
46,0.2728344671201814,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,1.465699999998904,3.4434999999994886,1
47,0.2786394557823129,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.7859000000015612,5.2608000000002875,0
48,0.28444444444444444,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,2.4598999999998483,2.683499999999839,2
49,0.29024943310657597,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,1.354400000000311,4.0525000000002365,1
50,0.2960544217687075,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.5458000000005967,5.064100000000238,0
51,0.301859410430839,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,1.5124000000010795,1.8399000000002275,2
