frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.442199999999616,0.22050000000106706,2
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,1.1419999999997543,2.3613000000004547,1
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.3038000000005212,3.219500000000153,0
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.9373999999992009,0.45590000000039765,2
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.414999999999722,2.432800000001123,1
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.6367000000006016,3.9536999999985056,0
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.780899999998752,0.2371000000014334,2
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.4664999999999253,1.046699999999845,1
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.49360000000042703,1.5292999999996226,0
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,1.756300000000266,0.3155000000010233,2
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.4495000000014358,2.064600000000638,1
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.3906000000005747,3.5663000000010214,0
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.9457000000002722,0.1230000000003173,2
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.6556999999988165,1.5484000000007825,1
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.0041000000011735,3.2511999999993435,0
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.5740999999991345,0.26100000000006673,2
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.250499999999377,1.8726999999998384,1
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.0094000000009373,3.1601999999999464,0
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,3.338700000000472,0.6585999999995096,2
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,2.4326999999999543,3.8640000000000896,1
20,0.1219047619047619,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.280099999998896,6.411200000000505,0
21,0.12770975056689343,0,4096,0,0.0,-96.59003495889704,,,,,,,,,2.927500000000194,0.155200000000022,2
