frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.195799999999636
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,1.0993999999993065
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.5786000000002076
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.8548999999996596
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.3380999999998977
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.8923999999996823
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.9581000000000728
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.76110000000007
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.6124000000014007
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,1.740299999999806
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.4997000000001037
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.6821000000000197
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,2.203599999999639
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,2.1313999999996724
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,2.7719000000008265
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.5655000000016628
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.9464000000001249
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.9510999999999825
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,2.636800000001216
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.564500000001189
20,0.1219047619047619,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.4521000000003994
21,0.12770975056689343,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.6578000000002646
22,0.13351473922902493,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.1235999999996693
23,0.13931972789115646,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.8889999999990295
24,0.14512471655328799,0,4096,0,0.0,-96.17790898892383,,,,,,,,,2.1962000000002035
25,0.1509297052154195,0,4096,0,0.0,-96.66269167130112,,,,,,,,,1.4672999999998382
26,0.156734693877551,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.5922000000010428
27,0.16253968253968254,0,4096,0,0.0,-96.04878903049143,,,,,,,,,2.066400000000357
28,0.16834467120181407,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.3828000000000173
29,0.17414965986394557,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.3094000000002382
30,0.1799546485260771,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.5409999999995705
31,0.18575963718820862,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.2100999999997697
32,0.19156462585034015,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.7467999999999364
33,0.19736961451247165,0,4096,0,0.0,-96.04878903049143,,,,,,,,,2.651800000000648
34,0.20317460317460317,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.3385999999986353
35,0.2089795918367347,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.2289999999985923
36,0.2147845804988662,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.5907000000012772
37,0.22058956916099773,0,4096,0,0.0,-96.59003495889704,,,,,,,,,2.345899999999901
38,0.22639455782312926,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.009899999999675
39,0.23219954648526078,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.9400999999993331
40,0.23800453514739228,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.5022999999990674
41,0.2438095238095238,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0.5091000000003731
42,0.24961451247165534,0,4096,0,0.0,-96.51857380658345,,,,,,,,,2.2780000000004463
43,0.25541950113378686,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.6138999999993899
44,0.2612244897959184,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.8708999999988976
45,0.26702947845804986,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.7153000000007523
46,0.2728344671201814,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.4342999999996664
47,0.2786394557823129,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.9892999999999716
48,0.28444444444444444,0,4096,0,0.0,-97.29235200308943,,,,,,,,,2.9705999999993793
49,0.29024943310657597,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.5836000000005725
50,0.2960544217687075,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.48329999999907614
51,0.301859410430839,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.5243999999992042
52,0.3076643990929705,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.6468000000001695
53,0.313469387755102,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.46989999999880183
54,0.31927437641723355,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.3410000000000366
55,0.3250793650793651,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.9279000000006477
56,0.3308843537414966,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.8973000000001008
57,0.33668934240362813,0,4096,0,0.0,-96.66269167130112,,,,,,,,,2.780100000000729
58,0.34249433106575966,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.4414999999985412
59,0.34829931972789113,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.7651000000006292
60,0.35410430839002266,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.9897999999992635
61,0.3599092970521542,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.5740999999996887
62,0.3657142857142857,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0.41370000000107154
63,0.37151927437641724,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.660000000001105
64,0.37732426303854877,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.9019000000005661
65,0.3831292517006803,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.4761999999995936
66,0.38893424036281177,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.844600000000085
67,0.3947392290249433,0,4096,0,0.0,-97.92982462984386,,,,,,,,,2.022100000001359
68,0.4005442176870748,0,4096,0,0.0,-96.73658462938218,,,,,,,,,2.2215000000009866
69,0.40634920634920635,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.7412999999996117
70,0.4121541950113379,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.48279999999856216
71,0.4179591836734694,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.42359999999952436
72,0.42376417233560093,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.9632000000010521
73,0.4295691609977324,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0.49890000000019086
74,0.43537414965986393,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.47900000000034026
75,0.44117913832199546,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.6386999999991048
76,0.446984126984127,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.8831000000011358
77,0.4527891156462585,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.8041000000010854
78,0.45859410430839004,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.7473999999992884
79,0.46439909297052157,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.497900000000385
80,0.47020408163265304,0,4096,0,0.0,-97.29235200308943,,,,,,,,,2.9205000000001036
81,0.47600907029478456,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.6297999999999035
82,0.4818140589569161,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.4535000000002185
83,0.4876190476190476,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.6756000000004434
84,0.49342403628117915,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.7518999999985851
85,0.4992290249433107,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.435799999999432
86,0.5050340136054422,0,4096,0,1.0,-78.98025725326262,,,,,,,,,0.592599999999166
87,0.5108390022675737,0,4096,0,1.0,-76.73078516384359,,,,,,,,,2.088000000000534
88,0.5166439909297053,0,4096,0,1.0,-76.70111645110394,,,,,,,,,1.4788999999986174
89,0.5224489795918368,0,4096,0,1.0,-76.24075383684959,,,,,,,,,1.2447000000008757
