frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms
60,0.35410430839002266,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.6426999999978875
61,0.3599092970521542,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.0259999999995273
62,0.3657142857142857,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0.8850000000002467
63,0.37151927437641724,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.8151999999993507
64,0.37732426303854877,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.424999999997567
65,0.3831292517006803,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.3619000000026915
66,0.38893424036281177,0,4096,0,0.0,-96.51857380658345,,,,,,,,,3.419300000000902
67,0.3947392290249433,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.8699999999990382
68,0.4005442176870748,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8708000000012817
69,0.40634920634920635,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.6233999999997195
70,0.4121541950113379,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.0559999999983916
71,0.4179591836734694,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.9298999999991509
72,0.42376417233560093,0,4096,0,0.0,-96.17790898892383,,,,,,,,,1.9486999999998034
73,0.4295691609977324,0,4096,0,0.0,-96.66269167130112,,,,,,,,,1.5250999999985027
74,0.43537414965986393,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.345600000000502
75,0.44117913832199546,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.1791999999992697
76,0.446984126984127,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.9239000000000885
77,0.4527891156462585,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.7880000000000109
78,0.45859410430839004,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.8090000000015038
79,0.46439909297052157,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.0718000000018435
80,0.47020408163265304,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.9344999999996162
81,0.47600907029478456,0,4096,0,0.0,-96.04878903049143,,,,,,,,,2.0597000000002197
82,0.4818140589569161,0,4096,0,0.0,-96.51857380658345,,,,,,,,,2.0585000000004072
83,0.4876190476190476,0,4096,0,0.0,-97.92982462984386,,,,,,,,,2.274100000001056
84,0.49342403628117915,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.8441000000031238
85,0.4992290249433107,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.0031999999995378
86,0.5050340136054422,0,4096,0,1.0,-81.78764338118899,,,,,,,,,0.9668000000004895
87,0.5108390022675737,0,4096,0,1.0,-81.6169683559238,,,,,,,,,1.5172999999997216
88,0.5166439909297053,0,4096,0,1.0,-83.4667364029379,,,,,,,,,2.036999999997846
89,0.5224489795918368,0,4096,0,0.5743688261076202,-85.18873049514654,,,,,,,,,0.7117000000000928
90,0.5282539682539683,0,4096,0,1.0,-83.44572677015654,,,,,,,,,4.000000000001336
91,0.5340589569160997,0,4096,0,1.0,-82.29819257123259,,,,,,,,,1.5486999999971829
92,0.5398639455782313,0,4096,0,1.0,-77.72689729920646,,,,,,,,,1.8311000000004185
93,0.5456689342403628,0,4096,0,1.0,-74.84160862227414,,,,,,,,,1.130799999998544
94,0.5514739229024943,0,4096,0,1.0,-74.77278742457437,,,,,,,,,1.0221000000001368
95,0.5572789115646258,0,4096,0,1.0,-72.53561564954924,,,,,,,,,0.8188000000011186
96,0.5630839002267574,0,4096,0,1.0,-70.44595791228694,,,,,,,,,1.901199999998937
97,0.5688888888888889,0,4096,0,1.0,-67.46572479453681,,,,,,,,,1.5598000000025536
