frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,inference_skipped,loop_ms,queue_delay_ms,queue_depth
0,0.005804988662131519,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,0.7670999999991324,1.104800000000239,2
1,0.011609977324263039,0,4096,0,0.2280827657955032,-96.04878903049143,,,,,,,,,0,0.833399999999429,2.398200000000017,1
2,0.017414965986394557,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.8409000000000333,3.281400000000545,0
3,0.023219954648526078,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,1.4762000000008157,1.640300000000039,2
4,0.029024943310657598,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,0.8128999999996722,1.8825000000006753,1
5,0.034829931972789115,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0,0.7487000000008237,2.6305999999998164,0
6,0.040634920634920635,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,1.146699999999612,1.43849999999901,2
7,0.046439909297052155,0,4096,0,0.0,-96.243937670594,,,,,,,,,0,0.7900999999996827,2.219200000000754,1
8,0.052244897959183675,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0,0.743200000000499,2.9836999999997005,0
9,0.058049886621315196,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0,2.560000000000784,2.86770000000125,2
10,0.06385487528344672,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,0.8101000000007019,3.7257999999997793,1
11,0.06965986394557823,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.829300000001254,3.9020999999994643,0
12,0.07546485260770976,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0,1.839200000000929,1.971799999999746,1
13,0.08126984126984127,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0,1.8463999999998038,3.3037000000000205,1
14,0.08707482993197278,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0,1.2870000000013704,3.2549999999993418,0
15,0.09287981859410431,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0,1.470900000001052,1.626100000001074,2
16,0.09868480725623582,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0,0.945399999999097,2.069900000000402,1
17,0.10448979591836735,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0,0.7473999999998426,2.808099999999314,0
18,0.11029478458049886,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0,2.059299999999098,2.3578000000004096,2
19,0.11609977324263039,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0,1.518199999999581,3.9116999999997404,1
