frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
37,0.22058956916099773,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.899799999999118,2.2178000000003806,0
38,0.22639455782312926,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8307000000016274,3.1207000000001983,0
39,0.23219954648526078,0,4096,0,0.0,-96.243937670594,,,,,,,,,1.3711000000000695,0.14600000000086766,0
40,0.23800453514739228,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.879499999999922,1.3000999999981389,0
41,0.2438095238095238,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0.7398000000016225,2.2052999999999656,0
42,0.24961451247165534,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.9486999999998034,0.13880000000199288,0
43,0.25541950113378686,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.9508999999994217,1.5910999999988462,0
44,0.2612244897959184,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.8672000000018443,1.9412000000009755,0
45,0.26702947845804986,0,4096,0,0.0,-96.73658462938218,,,,,,,,,1.55730000000176,1.4171000000011702,0
46,0.2728344671201814,0,4096,0,0.0,-97.46514278371254,,,,,,,,,0.8681999999993195,3.0044999999994104,0
47,0.2786394557823129,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0.8125999999997191,3.94460000000052,0
48,0.28444444444444444,0,4096,0,0.0,-97.29235200308943,,,,,,,,,1.213899999999768,0.2902000000020166,0
49,0.29024943310657597,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.8894999999995434,1.534700000000555,0
50,0.2960544217687075,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8741999999983818,2.4525999999980286,0
51,0.301859410430839,0,4096,0,0.0,-97.92982462984386,,,,,,,,,1.0501999999981138,0.27359999999987394,0
52,0.3076643990929705,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.7672999999996932,1.3274000000009778,0
53,0.313469387755102,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.9202999999983206,2.1266999999980385,0
54,0.31927437641723355,0,4096,0,0.0,-96.51857380658345,,,,,,,,,2.974599999998162,0.143200000000121,0
55,0.3250793650793651,0,4096,0,0.0,-96.243937670594,,,,,,,,,1.753600000000688,2.9287999999993986,0
56,0.3308843537414966,0,4096,0,0.0,-96.17790898892383,,,,,,,,,0.8420000000022299,4.376400000001723,0
57,0.33668934240362813,0,4096,0,0.0,-96.66269167130112,,,,,,,,,1.1668000000000234,0.2646999999988964,0
58,0.34249433106575966,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.0873999999994055,1.4704999999999302,0
59,0.34829931972789113,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.7875999999988892,2.6096000000030983,0
60,0.35410430839002266,0,4096,0,0.0,-96.81175663155918,,,,,,,,,1.1663999999989016,0.2801999999988425,0
61,0.3599092970521542,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.9789999999973986,1.4518000000016684,0
62,0.3657142857142857,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.0260999999971432,2.4803000000019892,0
63,0.37151927437641724,0,4096,0,0.0,-97.04540980062914,,,,,,,,,1.1846000000019785,0.27010000000160517,0
64,0.37732426303854877,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.8659999999984791,1.4706000000010988,0
65,0.3831292517006803,0,4096,0,0.0,-96.04878903049143,,,,,,,,,0.833500000002374,2.388299999999788,0
66,0.38893424036281177,0,4096,0,0.0,-96.51857380658345,,,,,,,,,1.6736000000001638,0.14570000000091454,0
67,0.3947392290249433,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.9185000000009325,1.3052999999985104,0
68,0.4005442176870748,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.9133999999981768,2.2701000000004967,0
69,0.40634920634920635,0,4096,0,0.0,-96.59003495889704,,,,,,,,,1.1595999999975959,0.25250000000198725,0
70,0.4121541950113379,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.9116999999996267,1.4305999999990604,0
71,0.4179591836734694,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.916300000000092,2.3924999999991314,0
72,0.42376417233560093,0,4096,0,0.0,-96.17790898892383,,,,,,,,,1.5268000000006055,0.13799999999974943,0
73,0.4295691609977324,0,4096,0,0.0,-96.66269167130112,,,,,,,,,0.7016000000028555,1.1315999999972348,0
74,0.43537414965986393,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8940000000023929,1.8354000000009307,0
75,0.44117913832199546,0,4096,0,0.0,-96.04878903049143,,,,,,,,,1.346999999999099,0.5187000000006492,0
76,0.446984126984127,0,4096,0,0.0,-96.81175663155918,,,,,,,,,0.9965999999970165,1.769100000000634,0
77,0.4527891156462585,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.8097999999989725,2.805900000002026,0
78,0.45859410430839004,0,4096,0,0.0,-97.46514278371254,,,,,,,,,1.1736000000013291,0.5196999999981244,0
79,0.46439909297052157,0,4096,0,0.0,-97.04540980062914,,,,,,,,,0.7878000000012264,1.6151999999998168,0
80,0.47020408163265304,0,4096,0,0.0,-97.29235200308943,,,,,,,,,0.8225999999993405,2.4337000000009823,0
81,0.47600907029478456,0,4096,0,0.0,-96.04878903049143,,,,,,,,,2.321099999999632,0.2826000000020201,0
82,0.4818140589569161,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.8990999999980431,2.6316000000008444,0
83,0.4876190476190476,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.8276999999985435,3.6002999999986685,0
