epoch,auc_pr,loss,precision,recall,val_auc_pr,val_loss,val_precision,val_recall
0,0.7092972993850708,0.6157417893409729,0.6538872718811035,0.6741140484809875,0.46994179487228394,0.566724956035614,0.4084831178188324,0.6282418966293335
1,0.760633647441864,0.573215901851654,0.7032313346862793,0.722061812877655,0.4963650107383728,0.5780675411224365,0.4027855694293976,0.7006163597106934
2,0.7746997475624084,0.560038685798645,0.7116907835006714,0.7382118105888367,0.5128698348999023,0.6316826343536377,0.3603803813457489,0.8117409944534302
3,0.7835338115692139,0.5518233180046082,0.7159423828125,0.7464959621429443,0.5238336324691772,0.5987923741340637,0.39251595735549927,0.7546836137771606
4,0.7937429547309875,0.5425101518630981,0.7237325310707092,0.7529531717300415,0.5400059223175049,0.5445559024810791,0.42184868454933167,0.7182523012161255
5,0.8000927567481995,0.5351424813270569,0.7293218970298767,0.7589919567108154,0.5459380149841309,0.6194556951522827,0.37392231822013855,0.8125343322753906
6,0.8044149875640869,0.530630886554718,0.7321242094039917,0.7622554302215576,0.5522688627243042,0.6197130084037781,0.3744426965713501,0.8200402855873108
7,0.8074009418487549,0.5268818140029907,0.7338764667510986,0.7663416862487793,0.5531347990036011,0.5508878231048584,0.42502743005752563,0.7328980565071106
8,0.8108094334602356,0.5239198207855225,0.7354391813278198,0.7672761082649231,0.5546411871910095,0.5778985023498535,0.4067252576351166,0.7654238343238831
9,0.8116205930709839,0.5232763290405273,0.7344593405723572,0.7683639526367188,0.5438913106918335,0.5172862410545349,0.4603242874145508,0.6531397104263306
10,0.814847469329834,0.51899254322052,0.7384195327758789,0.7696748971939087,0.5569639205932617,0.5522136688232422,0.4262978136539459,0.7306401133537292
11,0.8160346746444702,0.517183244228363,0.7388688325881958,0.7706790566444397,0.5558269023895264,0.5077173113822937,0.4592040777206421,0.6731555461883545
12,0.8169173002243042,0.5158834457397461,0.7412495613098145,0.7720457911491394,0.5583006739616394,0.5592058897018433,0.41236698627471924,0.7520595788955688
13,0.8214753270149231,0.5110751986503601,0.744107186794281,0.7739843726158142,0.5562078356742859,0.5534728765487671,0.41655632853507996,0.7486422061920166
14,0.822472870349884,0.5099002718925476,0.7437430024147034,0.7758252620697021,0.5542021989822388,0.5733317732810974,0.4051923155784607,0.7714651823043823
