visible_window,count,top1,top3
512,2406,0.8192019950124688,0.9102244389027432
1024,2266,0.9165931156222419,0.9633715798764343
2048,2348,0.9450596252129472,0.979557069846678
4096,5665,0.9636363636363636,0.9842894969108561
