pitch_midi,count,top1,top3
40,85,0.8705882352941177,0.9294117647058824
41,44,0.7954545454545454,0.9090909090909091
42,88,0.6136363636363636,0.7272727272727273
43,110,0.8272727272727273,0.9363636363636364
44,108,0.7314814814814815,0.8148148148148148
45,129,0.751937984496124,0.9224806201550387
46,159,0.7044025157232704,0.7861635220125787
47,211,0.8341232227488151,0.9383886255924171
48,110,0.7909090909090909,0.8636363636363636
49,202,0.9405940594059405,0.9801980198019802
50,227,0.8502202643171806,0.9559471365638766
51,166,0.8975903614457831,0.9337349397590361
52,255,0.9294117647058824,0.9607843137254902
53,163,0.8588957055214724,0.9570552147239264
54,274,0.9306569343065694,0.9781021897810219
55,234,0.7948717948717948,0.8461538461538461
56,355,0.9464788732394366,0.9802816901408451
57,335,0.844776119402985,0.9283582089552239
58,297,0.9528619528619529,0.9764309764309764
59,726,0.8953168044077136,0.9476584022038568
60,499,0.9539078156312625,0.9739478957915831
61,840,0.9464285714285714,0.9738095238095238
62,684,0.9210526315789473,0.9692982456140351
63,636,0.949685534591195,0.9811320754716981
64,697,0.9483500717360115,0.9784791965566715
65,817,0.9596083231334149,0.996328029375765
66,473,0.9577167019027484,0.985200845665962
67,719,0.9596662030598053,0.9888734353268428
68,580,0.9310344827586207,0.9758620689655172
69,488,0.9569672131147541,0.985655737704918
70,533,0.9662288930581614,0.9793621013133208
71,333,0.96996996996997,0.990990990990991
72,511,0.9823874755381604,1.0
73,201,0.9950248756218906,1.0
74,263,0.9429657794676806,0.9771863117870723
75,90,0.9777777777777777,0.9888888888888889
76,43,1.0,1.0
