pitch_midi,count,top1,top3
40,85,0.8705882352941177,0.9176470588235294
41,44,0.7954545454545454,0.9090909090909091
42,88,0.6136363636363636,0.6818181818181818
43,110,0.8181818181818182,0.9363636363636364
44,108,0.75,0.7962962962962963
45,129,0.7829457364341085,0.9069767441860465
46,159,0.6729559748427673,0.779874213836478
47,211,0.8436018957345972,0.9383886255924171
48,110,0.7818181818181819,0.8636363636363636
49,202,0.9405940594059405,0.9752475247524752
50,227,0.8634361233480177,0.9559471365638766
51,166,0.8795180722891566,0.9337349397590361
52,255,0.9254901960784314,0.9607843137254902
53,163,0.8588957055214724,0.9570552147239264
54,274,0.9343065693430657,0.9781021897810219
55,234,0.7991452991452992,0.8418803418803419
56,355,0.9464788732394366,0.9802816901408451
57,335,0.8507462686567164,0.9253731343283582
58,297,0.9528619528619529,0.9797979797979798
59,726,0.8911845730027548,0.9462809917355371
60,499,0.9559118236472945,0.9759519038076152
61,840,0.9452380952380952,0.9738095238095238
62,684,0.9137426900584795,0.9692982456140351
63,636,0.9449685534591195,0.9827044025157232
64,697,0.945480631276901,0.9770444763271162
65,817,0.9596083231334149,0.9951040391676866
66,473,0.9577167019027484,0.9830866807610994
67,719,0.9554937413073713,0.9902642559109874
68,580,0.9293103448275862,0.9775862068965517
69,488,0.9610655737704918,0.9836065573770492
70,533,0.9587242026266416,0.9793621013133208
71,333,0.96996996996997,0.990990990990991
72,511,0.9804305283757339,1.0
73,201,0.9950248756218906,0.9950248756218906
74,263,0.9391634980988594,0.973384030418251
75,90,0.9777777777777777,1.0
76,43,1.0,1.0
