visible_window,count,top1,top3
512,2406,0.8108894430590191,0.9073150457190358
1024,2266,0.9183583406884378,0.9624889673433362
2048,2348,0.9459114139693356,0.9791311754684838
4096,5665,0.9631067961165048,0.9835834068843777
